,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
69,SLY FOX/ Puppet  show/ Soviet Vintage hand puppet / rare doll / children's puppet theatre - 60s,"
            Vintage fox hand puppet toy.
Size:
Height: 15 3/4"" (with tail) ;
Width at bottom: 5 inches        ",19.95,4.9623,"Vintage item from the 1960s
Ships worldwide from  Russia
Feedback:  219 reviews
Favorited by:  26 people",Toys & Games Toys Puppets Hand Puppets,219.0,26.0,https://www.etsy.com/listing/467050184/sly-fox-puppet-show-soviet-vintage-hand,"https://img0.etsystatic.com/137/0/11694125/il_fullxfull.1048013992_9eow.jpg,https://img0.etsystatic.com/113/0/11694125/il_fullxfull.1048014024_ndmq.jpg,https://img1.etsystatic.com/111/0/11694125/il_fullxfull.1094576821_a1k5.jpg,https://img1.etsystatic.com/125/0/11694125/il_fullxfull.1094576849_5eht.jpg,https://img0.etsystatic.com/109/0/11694125/il_fullxfull.1048014096_lopg.jpg",,,159
229,Personalized Luggage Tag | Bag Tag | You Choose the Colors & Personalization Style | Bridesmaid Gift | Monogram | Greek Key and Lattice,"
            Customize your luggage tag to tell your bag apart from the rest. You choose the colors, and personalization style!
These make great gifts for the traveler in your life. Perfect for kid's school & sports bags too!
-----------------------------------------------------------------------------------------
{ITEM DETAILS}
♥ One Personalized Luggage Tag
♥ Professionally laminated for durability
♥ Measures 2.5 in. x 4.5 in.
♥ Back is printed with your contact information
♥ Sturdy vinyl strap is included so you can easily attach your tag to your bag/suitcase
♥ Printed with vibrant Ultra Chrome archival inks for gorgeous lasting color!
Please Note: All devices display colors differently. For this reason, colors on your physical product may differ slightly from those seen on your screen. 
--------------------------------------------------------
{HOW TO ORDER}
Place this item in your cart and proceed to check out.
Please COPY & PASTE this template into the note box provided in the shopping cart and fill in your selections:
--- ♥ ♥ ♥ ---
• Front Pattern Color:
• Back Pattern Color:
• Badge Shape Selection:
• Badge Color Selection:
• Font -OR- Monogram Style:
• Name or Initials to appear on the front of your tag:
• Contact information for the back of your tag (Name/Address/Phone) or (Name/Phone):
--- ♥ ♥ ♥ ---
→For monograms: please type letters in the exact order you would like them to appear. Traditional monogram order is 'first LAST middle' For example: Heather Ann Smith would be hSa
--------------------------------------------------------
{COORDINATING ITEMS}
Passport  Covers:
→ 
http://etsy.me/28WDpTu
Checkbook Covers:
→ 
http://etsy.me/28WDqGY
If you have any questions, please feel free to message us!        ",6.00,4.9311,"Handmade item
Materials:  Ultra Chrome Inks, Heavy Cardstock, Laminate, Vinyl Strap
Made to order
Ships worldwide from  United States
Feedback:  1070 reviews
Favorited by:  104 people",Bags & Purses Luggage & Travel Luggage Tags Gifts Under 25,1070.0,104.0,https://www.etsy.com/listing/465232152/personalized-luggage-tag-bag-tag-you,"https://img0.etsystatic.com/116/1/7154284/il_fullxfull.1043112350_iwn3.jpg,https://img0.etsystatic.com/129/0/7154284/il_fullxfull.1043112296_d63e.jpg,https://img1.etsystatic.com/057/0/7154284/il_fullxfull.754065801_5ysl.jpg,https://img1.etsystatic.com/146/0/7154284/il_fullxfull.1230385211_jxqk.jpg",,,159
235,Luggage Tag - Cheery Chevron Personalized Bag/Luggage Tag,"
            These great, durable bag tags jazz up any bag!! Use on luggage, kids book bags, purses, diaper bags, you name it!!
Personalize each side with text of your choice. 
Tags are 2.75x4 and made of reinforced fiberglass plastic. Plastic loop included.
Upgrade your plastic loop to a black leather strap with gold buckle here:
https://www.etsy.com/listing/196927454/leather-strap-bag-tag-upgrade
HOW TO ORDER
1. Complete your purchase through etsy
2. Put text for each side in notes section or e-mail all customizations to  sweetcartolina [!at] yahoo.com.
3. . After receiving your customizations, you will get a proof within 36 hours (M-F)
4. Make as many changes as needed until your bag tag is perfect!
6. After receiving written approval by email, I will produce and ship within 2 business days.
Happy Shopping        ",6.00,4.9812,"Handmade item
Primary color: Pink
Secondary color: Gray
Ships worldwide from  United States
Feedback:  2682 reviews
Favorited by:  696 people",Bags & Purses Luggage & Travel Luggage Tags Luggage Tag,2682.0,696.0,https://www.etsy.com/listing/111960161/luggage-tag-cheery-chevron-personalized,"https://img1.etsystatic.com/008/0/6439616/il_fullxfull.384195215_4tab.jpg,https://img1.etsystatic.com/037/0/6439616/il_fullxfull.629375025_b93h.jpg",,,159
695,kid's sewing pattern pdf/ kids baggy pants with pocket and fake button hole/ children clothing/Toddler sewing pattern/ new born-11years,"
            kid's sewing pattern pdf/ kids baggy pants with pocket and fake button hole/ children clothing/Toddler sewing pattern/ new born-11years
You will need:
1 yard main fabric.
1/4 yard fabric for cuffs and waistband.
Elastic band, string, buttons 
Serger and sewing machine
If you don't have a serger you can substitute all serged seams with your sewing machine by doing a small zig-zag stitch. 
The pattern contains these sizes:
:0-3 month ( 46-56cm / 18-22in. height )
:3-6 month ( 56-66cm / 22-26in. height )
:6-12 month ( 66-76cm / 26-30in. height )
:12-24 month ( 76-91cm / 30-36in. height )
2-3T: ( 91-98cm / 36-38in. height )
3-4T:( 100-107cm / 39-42in. height )
4-5T:( 107-113cm / 42-44.5in. height )
5-6T: ( 113-122cm / 44-48in. height )
6-7: ( 122-130cm / 48-51.5in. height )
8-9: ( 128-134cm / 50.5-53in. height )
10-11: ( 140-146cm / 55-57.5in. height )
Seam allowance is included.
If you have any question, Pls contact me!
Use the codes below when purchasing from my pdf sewing pattern listings to get the discounts!
hello10 - 10% off a purchase of 10 or more
hello20 - 20% off a purchase of 20 or more
hello30 - 30% off a purchase of 30 or more
Images displayed on etsy site are the property of my store. IMAGES MAY NOT BE REDISPLAYED ON ANOTHER WEB SITE WITHOUT PERMISSION OF THE HELLO DEAR KIDS.
# Policy for selling items made with my patterns
You may sell items made with my patterns if it is under 200 items per year with a credit to 'hello dear kids' in your listing. 
If you plan on selling in larger quantities, contact me for a licensing agreement.
THE  PATTERNS AND INSTRUCTIONS ARE FOR PERSONAL USE ONLY AND ARE NOT PERMITTED TO BE USED FOR COMMERCIAL PURPOSES.
COPYRIHT © MIJEONGJEONG 2014
Join my FACEBOOK page to be the first to hear about new designs and exclusive offers.
https://www.facebook.com/hellodearkids        ",6.00,4.5766,"Handmade Supply
Instant Digital Download: 2 PDF included
Made to order
Feedback:  548 reviews
Favorited by:  2364 people",Clothing Unisex Kids' Clothing Pants kids,548.0,2364.0,https://www.etsy.com/listing/215970446/kids-sewing-pattern-pdf-kids-baggy-pants,"https://img0.etsystatic.com/054/0/8011247/il_fullxfull.704519634_60sy.jpg,https://img1.etsystatic.com/060/0/8011247/il_fullxfull.704640479_o0tu.jpg,https://img1.etsystatic.com/059/0/8011247/il_fullxfull.704640477_iqtl.jpg,https://img1.etsystatic.com/046/0/8011247/il_fullxfull.704640483_k1ix.jpg,https://img1.etsystatic.com/058/0/8011247/il_fullxfull.704640475_msdu.jpg",,,159
1085,Vintage 925 Sterling Silver Skull Stud Earrings,"
            These tiny vintage 925 sterling silver studs feature a skull.  The earrings measure 1/8 inch in diameter.  Weighs .6 grams.
123-25        ",6.00,4.9072,"Vintage item
Occasion: Birthday
Material:  925 sterling silver
Only ships within  United States .
Feedback:  2109 reviews
Favorited by:  719 people",Jewelry Earrings Stud Earrings 925 stud earrings,2109.0,719.0,https://www.etsy.com/listing/400074633/vintage-925-sterling-silver-skull-stud,"https://img0.etsystatic.com/104/1/6751543/il_fullxfull.1007061686_pii8.jpg,https://img1.etsystatic.com/101/1/6751543/il_fullxfull.1038938641_9nzt.jpg,https://img1.etsystatic.com/112/1/6751543/il_fullxfull.1038938903_81sk.jpg",,,159
2286,brass tie bar / vintage tie clip / brass tie clip / TEXTURED TIE BAR,"
            These mini vintage brass tie clips are the perfect accessory for a skinny tie. They are quite minimalistic - they are rectangular in shape and have a light texture on their surface. They are deadstock from the 1960's and are in great vintage condition - there is just minor wear, scratching and discoloration on their surface. They measure 1 1/4 inches long and a little over 3/16 an inch wide. 
These all have a rich patina of their surface, but can be polished to a shiny surface if requested.        ",6.00,4.939,"Vintage item from the 1960s
Material:  brass
Ships worldwide from  United States
Feedback:  896 reviews
Favorited by:  212 people",Accessories Suit & Tie Accessories Cuff Links & Tie Clips Tie Bars,896.0,212.0,https://www.etsy.com/listing/245327078/brass-tie-bar-vintage-tie-clip-brass-tie,"https://img1.etsystatic.com/069/0/5782303/il_fullxfull.821932161_pusm.jpg,https://img0.etsystatic.com/070/0/5782303/il_fullxfull.822162450_fqr7.jpg,https://img0.etsystatic.com/074/0/5782303/il_fullxfull.822162458_5ju5.jpg,https://img0.etsystatic.com/073/0/5782303/il_fullxfull.822162360_ibpe.jpg,https://img0.etsystatic.com/076/0/5782303/il_fullxfull.822162478_3lnb.jpg",,,159
2686,"Vintage African Trade Beads AKA Christmas Beads tiny glass seed beads 33"" strand size 11-0","
            One long strand of vintage glass seed beads made for the African trade. Some are Venetian and some look to be Czech. 
(Note: These are the small vintage seed beads, not the larger pony beads.)
Bright colors, assorted solids and stripes, with the occasional white hearts and special shapes..
As I recall, these beads acquired their nickname when bead artist and merchant Carol Perrenoud of Beadcats described them as an affordable beady Christmas gift in an article she wrote in Bead and Button about giving beads as gifts.
* Perfect restrung with a simple brass or silver pendant
* Love so sort these by color, then string a few at a time onto leftover wire links
* Use as spacer beads between gemstones, to keep the holes from chipping
* Very affordable accent beads!
ALL GLASS
Q U A N T I T Y : 1 continuous strand
D I M E N S I O N S : approximately 33"" / Beads are about size 11-0 to 8-0.
•✿ •=======================•<✿✻ Ƹ̵̡Ӝ̵̨̄Ʒ✻✿  •========================•✿ •
Unique, vintage & handcrafted items for the discerning craft FaNaTiC
•✿ •============================•<♥ •==============================•✿ •
P O L I C I E S : Due to my current work schedule, my normal timeframe for shipping is within **4 business days.** Please let me know if you need ASAP shipping. You can read my Shop Policies here: 
http://www.etsy.com/shop/seriousbeader/policy
 and if you have any special needs, please don't hestitate to contact me. P.S. I love custom orders. :-) ~Mary T.        ",6.00,4.9469,"Vintage Supply
Craft type: Beading
Materials:  bead, glass
Ships worldwide from  United States
Feedback:  5384 reviews
Favorited by:  225 people","Craft Supplies & Tools Beads, Gems & Cabochons Beads mary tafoya",5384.0,225.0,https://www.etsy.com/listing/227125266/vintage-african-trade-beads-aka,"https://img0.etsystatic.com/000/0/5167206/il_fullxfull.305261872.jpg,https://img1.etsystatic.com/000/0/5167206/il_fullxfull.305122389.jpg,https://img1.etsystatic.com/000/0/5167206/il_fullxfull.305122395.jpg",,,159
2687,Vintage Brass Roses (16)(12mm)High Quality Made in the USA Three Layer Rose (has a center hole),"
            11-12mm
16 per lot        ",6.00,4.9902,"Vintage Supply from the 1960s
Craft type: Beading, Jewelry making
Material: Brass
Shape: Floral
Drill style: Center drilled
Ships from  United States  to  select countries .
Feedback:  11708 reviews
Favorited by:  326 people","Craft Supplies & Tools Beads, Gems & Cabochons Beads brass rose",11708.0,326.0,https://www.etsy.com/listing/173875163/vintage-brass-roses-1612mmhigh-quality,"https://img1.etsystatic.com/042/0/5267162/il_fullxfull.543779651_27uj.jpg,https://img1.etsystatic.com/035/0/5267162/il_fullxfull.543779693_msf2.jpg,https://img1.etsystatic.com/037/0/5267162/il_fullxfull.543779697_q3m3.jpg",,,159
2692,2 Antique Czech Floral Carved Turquoise Matrix True Art Deco Vintage Glass Bead Pendant 18x11x5mm P143,"
            The pendants I am listing were part of a very large purchase that Bonkers For Beads made. They are all vintage Czech or West German and at least 50 years old with some older. YOU CANNOT SEE DEFECTS WITH THE NAKED EYE...THE PICTURE IS VERY MUCH ENLARGED. The pendants are STUNNING!
You will receive 2 vintage Czech TURQUOISE MATRIX faceted glass pendant that measures 18x11x5mm. They are so very old! I have original packages. There may be dust on them as the paper in the boxes are disintegrating.  Some pendants appear to have sawdust in the holes...this will pop out with a head pin. These are very old vintage pendants....they are not perfect....they are more of a rough cut. If you are looking for perfection, these are not the pendants for you. If you are looking for fantastic true Art Deco vintage pendants....they ARE just what you are looking for! 
THIS LISTING IS FOR 2 PIECES
~2 amazing vintage antique floral carved TURQUOISE MATRIX glass pendant:  
~Pendants measure 18x11x5mm which are fairly small (though perfect for earrings!). The hole is at the top center of the pendant and runs front to back. The top of the pendant is carved while the back is faceted with no design..just nicely faceted. 
~Hole at the top center~you will need a pinch bail.
PLEASE NOTE: All of the pendants I am listing are antique and from original cardboard tissue lined boxes that were very dusty so they may need a bath.
INTERNATIONAL BUYERS: Due to the drastic rate hike in shipping, if I have significantly overcharged you, I will send you a small refund.        ",6.00,4.9892,"Vintage Supply from the 1920s
Craft type: Beading
Material:  vintage glass
Ships worldwide from  United States
Feedback:  8746 reviews
Favorited by:  1465 people","Craft Supplies & Tools Beads, Gems & Cabochons Beads vintage pendant",8746.0,1465.0,https://www.etsy.com/listing/191109621/2-antique-czech-floral-carved-turquoise,https://img1.etsystatic.com/026/1/5238581/il_fullxfull.608021963_svuh.jpg,,,159
2695,10 Vintage Austrian Pressed Glass Heart Beads / Vintage Austrian Pressed Glass Heart Beads // Vintage Picasso Pressed Glass Heart Beads,"
            Size :: 10 mm
Qty :: 10 hearts
Circa :: 1960
Origin :: Austria
These beads are from around the 1960's. They are in beautiful condition, as they have never been used. 
They are a plum/violet purple mottled with a muted red/yellow terracotta and hints of reddish orange. The mottled color will not wash off or fade away. The process in making these beads was to use a gas to create the colors on the molten glass, this is why no two are ever alike in color, although the beads themselves are made in a mold so their size and shape will be identical, which is good for the artist looking for symmetry and consistency when making a line of jewelry
*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*
*||* Click to see the matching mottled spike beads :: 
https://www.etsy.com/listing/189852587/10-vintage-scottish-agate-glass-dagger?ref=shop_home_active_50
  *||*
*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*~~~~~*\*/*
*||* Click to return to see more beads :: 
https://www.etsy.com/shop/CraftingCastAways
 *||*        ",6.45,4.7619,"Vintage Supply from the 1960s
Craft type: Beading
Materials:  Vintage Austrian Glass Beads, Austrian Glass Beads with faux Scottish agate
Ships from  United States  to  select countries .
Feedback:  219 reviews
Favorited by:  176 people","Craft Supplies & Tools Beads, Gems & Cabochons Beads Glass",219.0,176.0,https://www.etsy.com/listing/219873141/10-vintage-austrian-pressed-glass-heart,"https://img1.etsystatic.com/050/0/8171238/il_fullxfull.716968203_pkyo.jpg,https://img1.etsystatic.com/048/0/8171238/il_fullxfull.716968327_km2n.jpg,https://img1.etsystatic.com/047/0/8171238/il_fullxfull.716968581_3udx.jpg,https://img0.etsystatic.com/057/0/8171238/il_fullxfull.716843928_ncwl.jpg,https://img0.etsystatic.com/059/0/8171238/il_fullxfull.716844092_cff2.jpg",,,159
