,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
33,"Small vintage boy doll, German doll, Celluloid doll, Small dressed doll, Old doll, 1930s doll, Antique doll, Vintage boy doll, Gift for her","
            Small vintage boy doll, German doll, Celluloid doll, Small dressed doll, Old doll, 1930s doll, Antique doll, Vintage boy doll, Gift for her
A cute vintage German boy doll made from celluloid. His limbs are movable. He measures 5 inches from head to foot. On the back is the 'turtle' trademark of the doll manufacturer, Rheinische Gummi und Celluloid Fabrik Co.
He is in fairly good condition for his age, has integral moulded hair and is wearing shorts and a shirt.
PLEASE NOTE:
*This doll is intended as an adult collectors item only. He is old, very fragile and does not comply with present-day toy safety standards so should not be given to children.
*This sale is for the doll only. Sofa and props are NOT included.
For more lovely vintage playthings and teddy bears
www.etsy.com/uk/shop/TeddiesAndPlaythings
        ",33.17,5.0,"Vintage item from the 1930s
Materials:  Celluloid, fabric clothes
Ships worldwide from  United Kingdom
Feedback:  12 reviews
Favorited by:  44 people",Toys & Games Toys Dolls & Action Figures Dolls,12.0,44.0,https://www.etsy.com/listing/505058401/small-vintage-boy-doll-german-doll,"https://img0.etsystatic.com/155/0/11894337/il_fullxfull.1121229228_2osq.jpg,https://img0.etsystatic.com/154/0/11894337/il_fullxfull.1121229226_iu3t.jpg,https://img0.etsystatic.com/157/0/11894337/il_fullxfull.1121229232_dfd1.jpg,https://img1.etsystatic.com/173/0/11894337/il_fullxfull.1167835425_lzek.jpg,https://img1.etsystatic.com/177/0/11894337/il_fullxfull.1167835433_d508.jpg",,,52
222,"Leather Luggage Tag, Get Busy Living Or Get Busy Dying, Shawshank Redemption, Genuine Leather Luggage Tag, Wanderlust, Travel Gift","
            Leather Luggage Tag, Get Busy Living Or Get Busy Dying, Shawshank Redemption, Genuine Leather Luggage Tag, Wanderlust, Travel Gift
Made from beautiful vegetable tanned leather, my luggage tags are strong, durable, and designed to last for years to come.
Each one starts out as a piece of natural leather, which is then dyed, inked with the design and then embossed and waxed.  Each one is sealed on the back side so you can write your name or details with any indelible marker pen.  All edges are black and are also sealed.
Each 2in x 3.5in tag is finished with an antique brass eyelet and beautifully soft deerskin lace which is extremely strong, yet soft and supple. 
Personalization can not be added to these luggage tags.        ",16.58,5.0,"Handmade item
Materials:  Genuine Leather, Carnauba Wax, Deerskin Lace
Made to order
Ships worldwide from  United Kingdom
Feedback:  62 reviews
Favorited by:  44 people",Bags & Purses Luggage & Travel Luggage Tags leather luggage tag,62.0,44.0,https://www.etsy.com/listing/477135818/leather-luggage-tag-get-busy-living-or,https://img1.etsystatic.com/169/0/10201323/il_fullxfull.1124960777_o8s5.jpg,,,52
1834,Mirror brass Josef Frank 50s,"
            Delightful mirror brass Josef Frank for Svenskt Tenn 1950
Very nice vintage condition, 2 small dots in the mirror
Height 43cm
Width 33cm
Brand names belong to the rights owners and are used here only for description        ",544.08,5.0,"Vintage item from the 1950s
Material:  Messing
Ships from  Germany  to  select countries .
Feedback:  4 reviews
Favorited by:  44 people",Home & Living Home Décor Mirrors mirror,4.0,44.0,https://www.etsy.com/listing/502676167/mirror-brass-josef-frank-50s,"https://img1.etsystatic.com/149/0/13764871/il_fullxfull.1161170257_fs76.jpg,https://img0.etsystatic.com/141/0/13764871/il_fullxfull.1114566080_c154.jpg,https://img0.etsystatic.com/142/0/13764871/il_fullxfull.1114566082_i0g5.jpg,https://img0.etsystatic.com/149/0/13764871/il_fullxfull.1114566096_m33e.jpg,https://img0.etsystatic.com/152/0/13764871/il_fullxfull.1114566102_s9tt.jpg",,,52
1899,"Pair of Corning Ware 'Spice of Life' Grab It, Small Individual Serving Cookware, Vintage 1960s","
            This fabulously retro pair of Corning Ware Grab Its are very versatile and useful - and being Corning Ware, it's not too surprising they're in almost perfect condition.They feature the very popular Spice of Life pattern.
Each has a 450ml capacity, perfect for a serving for 1. They can be used on the stove top, in the oven, or in the microwave and can be tossed in the dishwasher for cleaning. Perfect for those who live alone or a couple who want a no-fuss cooking solution. 
Each measures 14cm across not including the handle, and 5cm deep. No chips or cracks, and only minor scratch marks to the bases. 
International orders automatically include tracking and insurance in the shipping costs, but domestic (within Australia) do not. Aussies, you can add tracking and insurance at checkout if you choose to. 
Brisbane locals - inspection and pick up always welcome.
Follow Grannies House Vintage on Facebook: https://www.facebook.com/GranniesHouse/?ref=hl        ",11.66,5.0,"Vintage item from the 1960s
Material:  ceramic
Ships worldwide from  Australia
Feedback:  32 reviews
Favorited by:  44 people",Home & Living Kitchen & Dining Cookware Corning Ware,32.0,44.0,https://www.etsy.com/listing/258671365/pair-of-corning-ware-spice-of-life-grab,"https://img1.etsystatic.com/126/0/11713863/il_fullxfull.880478531_cpi6.jpg,https://img0.etsystatic.com/108/0/11713863/il_fullxfull.880716654_65dv.jpg,https://img0.etsystatic.com/114/0/11713863/il_fullxfull.880716666_chz9.jpg,https://img1.etsystatic.com/113/0/11713863/il_fullxfull.880478585_ddpz.jpg,https://img1.etsystatic.com/109/0/11713863/il_fullxfull.880478577_k4o0.jpg",,,52
2160,"Drei tolle Vintage-Kleiderbügel in 3 Farben:  schwarz, grün mit Messingnieten, gelb - mit Messinghaken - 60erJahre","
            Hier bekommst du deine drei Kleiderbügel um deinen Vintage- Style perfekt zu machen.
Kunststoff bezogenen Bügel mit der typischen 60er Jahre-Prägung.
Highlight ist das grüne Stück mit Messingnieten.
Das ist ein tolles Geschenk für deine Freundin :-)
Zustand: einwandfrei, mit kleinen Zeichen der Zeit.
Authentischer Vintage-Zustand.
Maße: L: 41cm, H: 5,5 cm (plus Haken 7,5 cm)
***Dear international customers :-) 
If you want to buy a certain item, please ask us in advance about the exact shipping cost to your country,
so we can send the goods in the most economical way as possible as possible.
Please provide us with your details (country etc.)
If you prefer an alternate shipping method or combined shipping or you have any questions about a particular
item you are interested to buy - please feel free and contact us before you purchase.
We will be happy to send you additional information.most economical way as possible as possible.
Please provide us with your details (country etc.)
If you prefer an alternate shipping method or combined shipping or you have any questions about a particular
item you are interested to buy - please feel free and contact us before you purchase.
We will be happy to send you additional information.        ",22.21,1.0,"Vintage item from the 1960s
Ships from  Germany  to  select countries .
Feedback:  6 reviews
Favorited by:  44 people",Home & Living Storage & Organization Hangers & Clothing Storage Vintage,6.0,44.0,https://www.etsy.com/listing/242742632/drei-tolle-vintage-kleiderbugel-in-3,"https://img1.etsystatic.com/069/0/11025066/il_fullxfull.811143617_quxm.jpg,https://img0.etsystatic.com/074/0/11025066/il_fullxfull.811362666_n2re.jpg,https://img0.etsystatic.com/076/0/11025066/il_fullxfull.811363054_fm2y.jpg,https://img1.etsystatic.com/072/0/11025066/il_fullxfull.811143783_iecz.jpg,https://img1.etsystatic.com/071/0/11025066/il_fullxfull.811143861_8izi.jpg",,,52
2254,Estate 14k Charm Bracelet,"
            Charm bracelets are fun to wear.  The entire bracelet is 14k solid gold and there are 5 different charms.  The bracelet comes with a safety chain and is 8.25"" long.  It weighs 23.2 grams.        ","1,175.00",5.0,"Vintage item
Only ships within  United States .
Feedback:  6 reviews
Favorited by:  44 people",Jewelry Bracelets Charm Bracelets charm bracelets,6.0,44.0,https://www.etsy.com/listing/233850417/estate-14k-charm-bracelet,"https://img0.etsystatic.com/063/0/10756132/il_fullxfull.773975956_7vmk.jpg,https://img0.etsystatic.com/064/0/10756132/il_fullxfull.773976022_c3zy.jpg,https://img1.etsystatic.com/061/0/10756132/il_fullxfull.774014017_jbuy.jpg",,,52
2361,Chanel brooch 1996,"
            All original Chanel brooch from the 90s. Gold tone metal with pale pink enamel insert. Very good pre-owned condition no damages. Please inquire with questions you may have. Purchases will be shipped after january 3d.
Measurements: 2 1/2 x 2 1/2 inch.
Free domestic shipping.
International customers inquire for shipping cost.        ",495.50,5.0,"Vintage item from the 1980s
Material:  gold tone metal
Ships worldwide from  United States
Feedback:  32 reviews
Favorited by:  44 people",Jewelry Brooches costume jewelry avant garde necklace,32.0,44.0,https://www.etsy.com/listing/486995826/chanel-brooch-1996,"https://img0.etsystatic.com/142/0/6323111/il_fullxfull.1108705602_igs4.jpg,https://img0.etsystatic.com/147/0/6323111/il_fullxfull.1108705612_2seg.jpg,https://img1.etsystatic.com/172/0/6323111/il_fullxfull.1155308463_tu61.jpg,https://img1.etsystatic.com/171/0/6323111/il_fullxfull.1155308461_m4yv.jpg,https://img1.etsystatic.com/176/0/6323111/il_fullxfull.1155308471_s8nz.jpg",,,52
3675,Mens Vintage 1950s Dinner Suit Vintage Tuxedo Mens Tuxedo Daks Suit Daks Dinner Suit Barathea Dinner Suit,"
            Awesome 1950s Daks dinner suit, in about a 44 long. Measurements are:
Chest 23""
Shoulders 19""
Outer Arm 25.5""
Inner Arm 16.5""
Length of jacket from bottom of collar to hem 31""
Trousers:
Waist 19""
Inner Leg 32""
Outer Leg 44""
Cuff width 9""
Trouser legs seem to have been narrowed by a couple of inches, so they could be let out again for that full-legged cut!
Happy to ship internationally - just ask for a quote :)
Any questions, please don't hesitate to ask!        ",79.60,5.0,"Vintage item from the 1950s
Materials:  Silk, Wool, Barathea, Daks, Satin
Ships from  United Kingdom  to  select countries .
Feedback:  14 reviews
Favorited by:  44 people",Clothing Men's Clothing Suits & Sport Coats Suits,14.0,44.0,https://www.etsy.com/listing/473843988/mens-vintage-1950s-dinner-suit-vintage,"https://img1.etsystatic.com/151/1/12041110/il_fullxfull.1114759021_di4e.jpg,https://img1.etsystatic.com/121/0/12041110/il_fullxfull.1114758841_gjzc.jpg,https://img0.etsystatic.com/131/0/12041110/il_fullxfull.1068176300_sbzm.jpg,https://img1.etsystatic.com/159/0/12041110/il_fullxfull.1114759277_no1s.jpg,https://img0.etsystatic.com/156/0/12041110/il_fullxfull.1068175990_8egb.jpg",,,52
3840,"Rare Vintage 1940s French Powder Compact Complete With Lipstick,  Engraved & Engine Turned Base, Art Deco Compact","
            A beautiful large, solid brass compact, dating from 1940s. This compacts is in good, usable condition; it has some minor sign of wear, commensurate with its 70-plus years of age, but the mirror is clear and the hinges and clasps all work well. 
The lid is beautifully engraved with little fish with long fan-like tails swimming amongst sea plants. It is polished to a nice, subtle shine.
The base is engine turned and has only very minor signs of wear.
The compact opens by pressing a button on the side, revealing a self opening interior flap leading to the powder well. These 'nail saving' self opening lids were patented by Stratton in the 1940s and quickly adopted (and adapted) by other compact manufacturers. As soon as one opens the outer lid, the inner lid automatically pops open - no need to push buttons or slide levers and all those other nail breaking hazards! 
Inside the lipstick compartment here is a beautifully shaped lipstick holder with a bright red lipstick. Even the lipstick on its own, with its gracefully domed lid, is a lovely collectible item. 
Engraved 'Made in France' under the mirror.        ",61.02,5.0,"Vintage item from the 1940s
Materials:  Mirror, Brass
Ships from  United Kingdom  to  select countries .
Feedback:  105 reviews
Favorited by:  44 people",Bags & Purses Cosmetic & Toiletry Storage Vanity Storage Compact,105.0,44.0,https://www.etsy.com/listing/269946221/rare-vintage-1940s-french-powder-compact,"https://img0.etsystatic.com/123/0/7132485/il_fullxfull.930074604_qwl1.jpg,https://img1.etsystatic.com/133/0/7132485/il_fullxfull.929814225_h64j.jpg,https://img1.etsystatic.com/131/0/7132485/il_fullxfull.929814221_6fvw.jpg,https://img0.etsystatic.com/121/0/7132485/il_fullxfull.930074600_9ace.jpg,https://img0.etsystatic.com/107/0/7132485/il_fullxfull.930074572_3xy6.jpg",,,52
3901,"Sam, the Peanut Man,  Lancaster, Pa.","
            This is a high quality sepia toned photograph taken by Greg Petrick  in the 70s in Lancaster Pa. Other sizes available. 
 ""Sam, the Peanut Man,"" was actually Savas Vulopas. He came to Lancaster from Greece in 1918. He was one of downtown Lancaster's ""characters.""  He and his brother, Stergos Voulopos (who went by ""Steve"" and spelled his surname differently), operated various food shops in downtown Lancaster until the early '30s.  In 1932, Stergos opened and began operating the Manhattan Peanut Stand at 50 W. King St.  Meanwhile, Sam moved to Ephrata, where he operated Superior Dry Cleaners for nearly four decades. He also sold peanuts in Ephrata.  After Stergos died in 1971, Sam moved back to Lancaster. He ran the shop on West King until the end of 1980. He roasted his last peanuts just after Christmas. He said he had been selling about 10 tons of peanuts a year.   He was 98 years old when he died in 1999.        ",12.00,5.0,"Vintage handmade item from the 1970s
Only ships within  United States .
Feedback:  104 reviews
Favorited by:  44 people",Art & Collectibles Photography lancaster street scenes,104.0,44.0,https://www.etsy.com/listing/116526399/sam-the-peanut-man-lancaster-pa,https://img0.etsystatic.com/015/1/7527544/il_fullxfull.453962732_9xfz.jpg,,,52
