,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
154,Soviet vintage Winnie the Pooh bear Russian Winnie the Pooh toy Russian stuffed bear Antique stuffed bear Russian plush toy Stuffed toy 70s,"
            Cute and rare Soviet vintage Winnie the Pooh stuffed bear!
Born in Soviet Union in 1960s or early 1970s
His fur is Soviet vintage plush!
Stuffing is wadding
His eyes is Soviet plastic and Soviet synthetic leather!
The full height of Winnie the Pooh bear from ears to foot with ears and legs is near 22cm / near 8,7 ""
This little cutie looks for new home!
Absolutely amazing gift for kids and adults!
Good vintage condition! Old toy without serious defects. 
Winnie the Pooh toy is for sale as shown and described! 
Please, see all photos and read description carefully! 
Thank you! 
--------------------
I accept PayPal only
After payment is confirmed I will send your item within 1-3 business days! 
I send worldwide by airmail with tracking number!
I am glad to answer your questions before purchase! 
Feel free to contact me! 
------------------
My handmade shop is here
https://www.etsy.com/shop/FlowersFashionByOlga
 
There are unique artisan jewelry!        ",40.00,5.0,"Vintage item from the 1970s
Primary color: Beige
Secondary color: Brown
Holiday: Easter
Occasion: Birthday
Materials:  wadding, plastic eyes, Soviet vintage plush, synthetic leather, plastic nose
Ships worldwide from  Russia
Feedback:  5 reviews
Favorited by:  29 people",Toys & Games Toys Stuffed Animals & Plushies Bears,5.0,29.0,https://www.etsy.com/listing/486827626/soviet-vintage-winnie-the-pooh-bear,"https://img1.etsystatic.com/142/0/12075044/il_fullxfull.1191539923_rplm.jpg,https://img1.etsystatic.com/179/0/12075044/il_fullxfull.1154948797_a1h0.jpg,https://img1.etsystatic.com/153/0/12075044/il_fullxfull.1154948905_8ab7.jpg,https://img1.etsystatic.com/151/0/12075044/il_fullxfull.1154949141_mikb.jpg,https://img0.etsystatic.com/170/0/12075044/il_fullxfull.1108348058_50n1.jpg",,,75
859,vintage crown trifari petite set sationals gold tone enamel floral necklace and clip earrings.,"
            vintage crown trifari petite set sationals gold tone enamel floral necklace and clip earrings.  overall in nice condition with normal vintage wear.
measurements:
3/4 inch width (pendant and clip earrings)
3/4 inch length (pendant and clip earrings)
16 inch chain (with pendant)
// visit the albetremonVintage shop //
https://www.etsy.com/shop/albetremonVintage
// connect with us //
[facebook]
https://www.facebook.com/albetremon
[instagram]
https://instagram.com/albetremonvintage        ",24.87,5.0,"Vintage item from the 1970s
Ships worldwide from  United States
Feedback:  86 reviews
Favorited by:  29 people",Jewelry Jewelry Sets costume jewelry vintage jewelry,86.0,29.0,https://www.etsy.com/listing/497753961/vintage-crown-trifari-petite-set,"https://img1.etsystatic.com/148/0/8929842/il_fullxfull.1148335615_5oi9.jpg,https://img1.etsystatic.com/164/0/8929842/il_fullxfull.1148335647_ob49.jpg,https://img1.etsystatic.com/169/0/8929842/il_fullxfull.1148335657_kuuu.jpg,https://img0.etsystatic.com/160/0/8929842/il_fullxfull.1101746998_73es.jpg,https://img1.etsystatic.com/156/0/8929842/il_fullxfull.1148335631_r5v3.jpg",,,75
1069,Clip Earrings -Vintage Pink Aurora Borealis Rhinestones Earrings Clip Back Special Occasion Pageant Ballroom Formal Bridal,"
            Glamorous pair of big vintage prong set Crystal AB rhinestone clip on earrings in antique bronze setting. The pictures speak for themselves- they are gorgeous and in excellent vintage condition. 
They are approx. 1-1/4"" in diameter. This pair would make a wonderful gift for anniversary or Mother's Day or could be worn at any special occasion- weddings, prom, formal ballroom wear....        ",17.99,5.0,"Vintage item from the 1950s
Primary color: Pink
Secondary color: Gold
Holiday: Mother's Day
Occasion: Wedding
Materials:  metal, clips, AB rhinestones, Aurora borealis rhinestones, AB glass rhinestones, Iridescent rhinestones
Only ships within  United States .
Feedback:  29 reviews
Favorited by:  29 people",Jewelry Earrings Clip On Earrings vintage jewelry,29.0,29.0,https://www.etsy.com/listing/487414326/clip-earrings-vintage-pink-aurora,"https://img1.etsystatic.com/144/0/7841211/il_fullxfull.1211335447_fl3y.jpg,https://img0.etsystatic.com/146/0/7841211/il_fullxfull.1109654570_1ycj.jpg,https://img1.etsystatic.com/169/0/7841211/il_fullxfull.1156260937_tlv4.jpg,https://img0.etsystatic.com/146/0/7841211/il_fullxfull.1111840810_3t1f.jpg",,,75
2044,"Vintage Chinese Porcelain Vase, Blue and White Porcelain Bottle Vase, Squat Form Vase, Chinese Republic Period Vase, Painted Vase","
            This listing is for a vintage Chinese porcelain vase. 
This blue and white porcelain vase is decorated with an image of a figure on a bridge.  The vase is a squat form, or bottle shape.
The vase's decoration is very nicely painted but one end of the design has been damaged in production.  The blue underglaze at the far left hand side of the design has been lost.  I've provided a photograph above.  
I believe the vase is of the Chinese republic period.
Apart from the fault to the blue decoration noted above, there are the following areas of damage to note:
*  There is a crack to the glaze at the rim of the vase (photograph provided).  The damage doesn't seem to extend through to the porcelain, it appears to be in the glaze only.
*  There are a number of pin holes on the outer surface of the glaze.
*  The rim at the base has a number of small chips.
The vase is 14cm tall (5.5 inches), and approximately 10cm across at its widest point (4 inches).
If you need any further information or photos, please do send me convo. I’m more than happy to answer questions or send further images        ",104.90,5.0,"Vintage item
Materials:  porcelain, ceramic, blue and white glaze
Ships worldwide from  Australia
Feedback:  29 reviews
Favorited by:  29 people",Home & Living Home Décor Vases chinese porcelain,29.0,29.0,https://www.etsy.com/listing/488689085/vintage-chinese-porcelain-vase-blue-and,"https://img0.etsystatic.com/160/0/8301159/il_fullxfull.1072396398_o5ab.jpg,https://img0.etsystatic.com/127/0/8301159/il_fullxfull.1072410972_kqa1.jpg,https://img1.etsystatic.com/149/0/8301159/il_fullxfull.1118998017_3657.jpg,https://img1.etsystatic.com/169/0/8301159/il_fullxfull.1118983297_avig.jpg,https://img0.etsystatic.com/180/0/8301159/il_fullxfull.1072396438_gakm.jpg",,,75
2476,Vintage High-Waisted Embroidered Corduroy Pants | Size Extra Small,"
            Vintage 1970's black corduroy wide leg pants.  High waist and deep front pockets.  Silver embroidered pockets.  Perfectly paired with a white crop top and platform sandals!
Waist: 24""
Hips: 34""
Inseam: 10""
Length from waist: 41""
Length from crotch:  31""
Estimated modern size:  XS        ",69.00,5.0,"Vintage item from the 1970s
Material:  Corduroy
Ships worldwide from  United States
Feedback:  9 reviews
Favorited by:  64 people",Clothing Women's Clothing Pants & Capris Pants,9.0,64.0,https://www.etsy.com/listing/269261498/vintage-high-waisted-embroidered,"https://img0.etsystatic.com/134/1/9530758/il_fullxfull.926607746_2cvt.jpg,https://img0.etsystatic.com/139/0/9530758/il_fullxfull.926607756_tltk.jpg,https://img0.etsystatic.com/135/0/9530758/il_fullxfull.926607748_jdwq.jpg",,,75
2480,"Womens pants, vintage pants, 60s pants, wool pants, vintage clothing","
            ♥Vintage women wool pants from 60s
  Size L
  Year               1960
  Condition	Excellent
  Material	Wool
  Waist 	       32.2 in \ 82 cm
  Length  	36.5 in \ 93 cm
size	bustׂ (cm)waist (cm)hip (cm)
XS	77-83	59-65	83-89
S	83-89	65-71	89-95
M	89-95	71-77	95-101
L	95-101	77-83	101-107
XL	101-107	83-89	107-113
OS	107-113	89-95	113-119
❤Different Country Size Chart:
size	US	    UK     Europe   Australia
XS	0-2	    2-4        30-32	6-8
S	4-6	    6-8        34-36	8-10
M	8-10	    10-12     38-40	10-12
L	12-14   14-16    42-44     12-14
XL	16-18   18-20    46-48    14-16
OS	20-22  22-24    50-52    16-18
 
♥It is very important to me to recycle things and help our world become better and ecological.
And this is why i'm choosing vintage!
❤30 Days Easy Returns❤
If you not satisfied from the item, easy returns in 30 days
For more vintage items, check out my store
https://www.etsy.com/il-en/shop/shpirulina/items
❀http://shpirulina.com/shpirulina-blog/
❀https://www.pinterest.com/shirshtein/
❀https://twitter.com/shpirulina
❀https://www.facebook.com/shpirulina/
Visit More of my vintage dresses:
https://www.etsy.com/il-en/listing/465196267/mix-color-flower-and-geometric-print?ref=shop_home_active_7
https://www.etsy.com/il-en/listing/451711102/mix-color-madras-plaid-vintage-dress-for?ref=shop_home_active_8
https://www.etsy.com/il-en/listing/451710928/white-and-light-blue-gingham-plaid?ref=shop_home_active_9
https://www.etsy.com/il-en/listing/464895769/black-and-white-flower-print-vintage?ref=shop_home_active_13
https://www.etsy.com/il-en/listing/451409538/mix-color-floral-and-zebra-print-vintage?ref=shop_home_active_14
Visit my site:
http://shpirulina.com/
The Fine Print:
✄Washable 30 Degrees
✄The Materials is-wool
Thank you for choosing my designs:)
I'm honored to create them for you with love!!
shir❤        ",16.62,5.0,"Vintage item from the 1960s
Primary color: Beige
Secondary color: White
Holiday: Chinese New Year
Occasion: Confirmation
Size: L US Women's
Material:  wool
Ships worldwide from  Israel
Feedback:  35 reviews
Favorited by:  29 people",Clothing Women's Clothing Pants & Capris Pants,35.0,29.0,https://www.etsy.com/listing/506366139/womens-pants-vintage-pants-60s-pants,"https://img1.etsystatic.com/175/0/10680587/il_fullxfull.1174599349_tadz.jpg,https://img0.etsystatic.com/163/1/10680587/il_fullxfull.1127173484_qz3g.jpg,https://img1.etsystatic.com/140/0/10680587/il_fullxfull.1086254639_mlsr.jpg,https://img1.etsystatic.com/154/0/10680587/il_fullxfull.1171974427_6xvn.jpg,https://img1.etsystatic.com/179/0/10680587/il_fullxfull.1174599357_22kg.jpg",,,75
2601,Maybe Later Deadstock 70's Peach Shirt With Shirt Party Print,"
            A tee dedicated for when you just don't feel like it. The second design in our personal t-shirt collection. 1970's deadstock peach colored 50/50 cotton poly t-shirt with baby sleeves and slight boat neck. The fit is so good on these babies. Featuring an original design by us in a groovy 70's font, reading ""Maybe Later.."", surrounded by stars we pulled from one of our favorite 70's hanging tapestries in bright white. Tee is meant to get better and better with washes, created a vintage look tee on an authentic deadstock vintage 70's t-shirt. Due to the nature of deadstock vintage, tees are limited to only M/L size stock, since thats what we found in bulk.
Era: 1970's shirt with modern graphic
Fits Like: Medium/Large
Bust: 31 Inches
Waist: 31Inches
Total Length: 23 Inches
Condition: Deadstock Vintage
Model is 5'9, Bust - 32, Waist - 25, Hips - 35        ",69.00,5.0,"Vintage item from the 1970s
Ships worldwide from  United States
Feedback:  45 reviews
Favorited by:  474 people",Clothing Women's Clothing Tops & Tees T-shirts,45.0,474.0,https://www.etsy.com/listing/456674042/maybe-later-deadstock-70s-peach-shirt,"https://img0.etsystatic.com/115/1/12200844/il_fullxfull.1019924188_lc2l.jpg,https://img0.etsystatic.com/114/0/12200844/il_fullxfull.1019924186_9li0.jpg,https://img1.etsystatic.com/131/0/12200844/il_fullxfull.1066459821_k4i5.jpg,https://img0.etsystatic.com/116/0/12200844/il_fullxfull.1019924190_tpmq.jpg,https://img1.etsystatic.com/132/0/12200844/il_fullxfull.1066459903_e02f.jpg",,,75
2812,Antique sterling silver pendant,"
            Pretty sterling silver pendant (crab hallmark and touchstone test). A silversmith hallmark is also visible but not clearly enough to be described.
This jewel looks old but I cannot be more precise.
There's a nice lily carving.
Weight : 11 g
Diameter : 3.5 cm        ",22.21,5.0,"Vintage item
Craft type: Jewelry making
Material:  argent
Ships worldwide from  France
Feedback:  12 reviews
Favorited by:  29 people","Craft Supplies & Tools Beads, Gems & Cabochons Charms & Pendants Pendants",12.0,29.0,https://www.etsy.com/listing/248486625/antique-sterling-silver-pendant,https://img0.etsystatic.com/101/0/11215629/il_fullxfull.835929728_lw09.jpg,,,75
3119,"40s Vogue Dress Pattern 6757, Full Skirt, V Neck, Gathered Bodice, Sleeve Variations, Bust 34, Elegant 1940s Day Evening Dress","
            We love the classic elegance of this rare dress pattern - stunning!  It features a two piece circular skirt and fitted bodice with a v neck that ends with gathers at the bodice.  The gorgeous lines of this dress are perfectly suited for softly flowing fabrics like chiffon or organdy.
Pattern:  Vogue 6757 (9 pcs used and complete with instructions; unprinted pattern pieces)
Copyright:  1949
Size:  16
Bust:  34
Waist:  28  
Hip:  37
Back Waist Length:  17 ½  
Envelope:  Fair/Poor:  readable, usable but has all around wear & tear
 
If this pattern isn’t your size, please check out this site for resizing instructions: 
http://sensibility.com/blog/tips/how-to-resize-a-pattern/
Listing is for this sewing pattern, not the finished item. Listing is for the original pattern, not a copy. First photo has been edited to highlight pattern, all other photos are as accurate a representation as possible. All images are subject to copyright, and may not be used without permission.
This pattern ships in a sturdy envelope with cardboard via U.S. First Class with Delivery Confirmation & Insurance in the U.S., and First Class International with Insurance to other destinations. International customers please be aware that you are responsible for any customs’ or additional fees/taxes for your country.
If you have any questions about this item, please don’t hesitate to contact us. We’re always happy to help!
★Other great patterns for women here★
http://www.etsy.com/shop/VirtualVintage?section_id=6120614
►Find more stylish Vogue patterns here◄
http://www.etsy.com/shop/VirtualVintage?section_id=12491425
        ",75.00,4.9737,"Vintage Supply from the 1940s
Craft type: Sewing
Ships worldwide from  United States
Feedback:  282 reviews
Favorited by:  219 people",Craft Supplies & Tools Patterns & How To Patterns & Blueprints vogue 6757,282.0,219.0,https://www.etsy.com/listing/241135457/40s-vogue-dress-pattern-6757-full-skirt,"https://img0.etsystatic.com/071/2/5495352/il_fullxfull.805025060_dzb8.jpg,https://img1.etsystatic.com/073/0/5495352/il_fullxfull.804800537_eeuc.jpg,https://img1.etsystatic.com/076/0/5495352/il_fullxfull.804800559_4hm6.jpg,https://img1.etsystatic.com/075/0/5495352/il_fullxfull.804800621_2blb.jpg,https://img1.etsystatic.com/076/0/5495352/il_fullxfull.804800655_nxb1.jpg",,,75
3588,"Vintage Ron Jon Surf Shop, Key West shirt - LARGE","
            Vintage Ron Jon Surf Shop, Key West shirt. This is a great shirt with some great artwork on the back of the shirt. The shirt is a LARGE and it is in great vintage shape. It has perfect fading to it and some other minor wear and age. 
The measurements of the shirt laying flat are:
Length (top of the collar to the bottom of the shirt): 28""
Width (armpit to armpit): 21""        ",26.99,5.0,"Vintage item
Material:  Cotton
Ships from  Canada  to  select countries .
Feedback:  26 reviews
Favorited by:  29 people",Clothing Unisex Adult Clothing Tops & Tees T-shirts,26.0,29.0,https://www.etsy.com/listing/290897237/vintage-ron-jon-surf-shop-key-west-shirt,"https://img0.etsystatic.com/126/0/9121928/il_fullxfull.962450770_90f9.jpg,https://img0.etsystatic.com/112/0/9121928/il_fullxfull.962450982_h30h.jpg,https://img1.etsystatic.com/140/0/9121928/il_fullxfull.1008993919_3iwy.jpg,https://img0.etsystatic.com/115/0/9121928/il_fullxfull.962451068_avee.jpg,https://img1.etsystatic.com/130/0/9121928/il_fullxfull.1008993899_pmxx.jpg",,,75
