,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
358,Vintage 1988 Wacky Winders Kite Spool Handle String Retro Sesame Street Kids Spectra Star NIP,"
            Vintage 1988 spectra star wacky winders kite string spool and thread. Sesame Street design! 
New and unused, in original package. 
Measures approximately 8 inches wide        ",20.00,4.9754,"Vintage item from the 1980s
Primary color: Red
Secondary color: Yellow
Materials:  thread, plastic
Ships worldwide from  Canada
Feedback:  339 reviews
Favorited by:  1 person",Toys & Games Sports & Outdoor Recreation Kites & Pinwheels Kites,339.0,1.0,https://www.etsy.com/listing/499490438/vintage-1988-wacky-winders-kite-spool,"https://img1.etsystatic.com/174/0/5844803/il_fullxfull.1191945427_tkpv.jpg,https://img0.etsystatic.com/166/0/5844803/il_fullxfull.1145339410_qf9v.jpg,https://img0.etsystatic.com/170/0/5844803/il_fullxfull.1145339418_ton0.jpg,https://img1.etsystatic.com/141/0/5844803/il_fullxfull.1191945441_ml5y.jpg",,,202
363,vintage 1994 spectra star star wars lfl super flyer 300  42 inch kite complete with handle and line,"
            hi. one vintage 1994 spectra star star wars lfl super flyer 300  42 inch kite complete with handle and line new in the package, it would make a nice addition to your collection.
thank you for looking.        ",20.00,4.8382,"Vintage item
Only ships within  United States .
Feedback:  196 reviews
Favorited by:  4 people",Toys & Games Sports & Outdoor Recreation Kites & Pinwheels Kites,196.0,4.0,https://www.etsy.com/listing/263599653/vintage-1994-spectra-star-star-wars-lfl,"https://img1.etsystatic.com/140/0/8693742/il_fullxfull.902139439_kb9o.jpg,https://img0.etsystatic.com/102/0/8693742/il_fullxfull.902381922_pp4r.jpg,https://img1.etsystatic.com/129/0/8693742/il_fullxfull.902139577_3gtn.jpg,https://img0.etsystatic.com/103/0/8693742/il_fullxfull.902382084_1ysn.jpg",,,202
1830,Convex mirror,"
            Nice convex mirror from the 60 s.
It is framed with brown velvet and a gilded circle.
The mirror itself has some little wears , not really important.
It has a clip to be hanged on the wall.
Diameter of the mirror: 21 cm or 8,19""
Diameter of rhe whole piece: 31 cm or 12, 09""        ",83.28,4.9011,"Vintage item from the 1960s
Materials:  Miroir, Bois, Métal
Ships worldwide from  Belgium
Feedback:  196 reviews
Favorited by:  173 people",Home & Living Home Décor Mirrors Mirror,196.0,173.0,https://www.etsy.com/listing/246782726/convex-mirror,"https://img0.etsystatic.com/070/0/8957808/il_fullxfull.828278562_tpkx.jpg,https://img0.etsystatic.com/069/0/8957808/il_fullxfull.828278576_kylu.jpg,https://img0.etsystatic.com/070/0/8957808/il_fullxfull.828278594_lb81.jpg,https://img0.etsystatic.com/072/0/8957808/il_fullxfull.828278598_gc1c.jpg",,,202
7645,Brass Incense Stick Holder: A stylish way to hold your incense sticks.,"
            ⁘  Stylish Minimal Incense Stick Holder ⁘  
- Brass incense stick holder with multi diameter holes. 
- Gold colour with Ume branding.
- Can take any size incense up to 3mm thick. 
- Perfect for using with your own incense tile or bowl, or for travel.
Designed by Ume Incense. London        ",6.63,4.8382,"Handmade item
Material:  gold metal
Ships worldwide from  United Kingdom
Feedback:  92 reviews
Favorited by:  500 people",Bath & Beauty Spa & Relaxation Aromatherapy incense stick holder,92.0,500.0,https://www.etsy.com/listing/240715591/brass-incense-stick-holder-a-stylish-way,"https://img0.etsystatic.com/072/0/11406681/il_fullxfull.803270118_9l50.jpg,https://img0.etsystatic.com/075/0/11406681/il_fullxfull.803269500_1rz8.jpg,https://img1.etsystatic.com/069/0/11406681/il_fullxfull.803043777_lg9a.jpg",,,202
9642,Music Box Angel 2- Personalized,"
            Angel theme music box laser cut hand made of baltic birch and stained in 2 contrasting colors ( specify if you like the lighter version or the darker).  Measures 6"" round by 4"" high.  Features on/off switch for the movement. To wind you turn the top angel. Made with genuine Sankyo movement  pick a tune below. If your giving this as a gift I will furnish you with a  free 1"" by 2"" engraved wood message plate for the utmost in personalization.  This can be applied to the side portion of this box.
  I can ship worldwide so please inquire..   List below
MUSIC BOX (AVAILABLE TUNES)
1. AMAZING GRACE
2. AMERICA THE BEAUTIFUL
3. ANNIVERSARY SONG
4. AVA MARIA
5. BORN FREE
6. BRAHMS LULLABY
7. CAMELOT
8. CHARIOTS OF FIRE
8A ClAIR DE LUNE
9. CLOSE TO YOU
10. DING DONG THE WITCH IS DEAD
11. DANCE OF THE SUGAR PLUM FAIRY
12. DREIDEL SONG
13. DON’T CRY FOR ME ARGENTINA
14. THE ENTERTAINER
15. FEELINGS
16. FRIENDS
17. FUNERAL MARCH OF THE MARRIONETTE’S (ALFRED HITCHCOCK THEME)
18. FUR ELISE
19. GREENSLEEVES (SAME TUNE AS WHAT CHILD IS THIS)
20. HEY JUDE
21. O HOLY NIGHT
22. HOME ON THE RANGE
23. HUSH LITTLE BABY
24. THE IMPOSSIBLE DREAM
25. IN THE GOOD OLD SUMMERTIME
26. JOY TO THE WORLD
27. KILLING ME SOFTLY
28. LARA’S THEME
29. LET ME CALL YOU SWEETHEART
30. LITTLE TOWN OF BETHLEHEM
31. THE LOOK OF LOVE
32. LOVE MAKES THE WORLD GO AROUND
33. MARY HAD A LITTLE LAMB
34. MY OLD KENTCKY HOME
34A  ODE TO JOY
35. OLD MCDONALD HAD A FARM
36. OVER THE WAVES
37. SOMEWHERE OVER THE RAINBOW
38. PARADE OF THE WOODEN SOLDIER
39. PEOPLE WILL SAY WE’RE IN LOVE
40. POMP AND CIRCUMSTANCE (GRADUATION MARCH)
41. RED ROSES FOR A BLUE LADY
42. ROCK A BYE BABY
43. SCHOOL DAYS
44. SHADOW OF YOUR SMILE
45. SILENT NIGHT
46. SOME DAY MY PRINCE WILL COME
47. STARS AND STRIPES
48. SUNRISE SUNSET
49. SWAN LAKE
50. SWEET ADELINE
51. SYMPHONY #5
52. TAKE ME OUT TO THE BALL GAME
53. TALK TO THE ANIMALS
54. TENNESSEE WALTZ
55. THE WAY WERE
56. TRY TO REMEMBER
57. TOY LAND
58. TWINKLE, TWINKLE LITTLE STAR
59. UNCHAINED MELODY
60. WEDDING MARCH
61. WHAT THE WORLD NEEDS NOW
62. WHISTLE A HAPPY TUNE
63. WE’RE OFF TO SEE THE WIZARD
64. WHEN IRISH EYES ARE SMILING
65. WITH A LITTLE BIT OF LUCK
66. YESTERDAY
67. YOU ARE MY SUNSHINE
68. YOU LIGHT UP MY LIFE        ",37.00,4.9455,"Handmade item
Materials:  baltic birch, music box movement, hardwood
Only ships within  United States .
Feedback:  196 reviews
Favorited by:  798 people",Art & Collectibles Collectibles Music Boxes music box,196.0,798.0,https://www.etsy.com/listing/88958144/music-box-angel-2-personalized,"https://img1.etsystatic.com/004/0/6659930/il_fullxfull.376516369_4ipk.jpg,https://img1.etsystatic.com/007/0/6659930/il_fullxfull.376516641_snre.jpg,https://img1.etsystatic.com/066/0/6659930/il_fullxfull.768563547_tckw.jpg,https://img1.etsystatic.com/062/0/6659930/il_fullxfull.768563955_c1lb.jpg,https://img0.etsystatic.com/060/0/6659930/il_fullxfull.768445998_gvhp.jpg",,,202
11187,Personalised Wedding Ring Box - Rustic Wedding Box - Wooden Ring Box - Personalised Couples Gift - Ring Bearer - Ring Holder - Wedding Gift,"
            A wonderfully personalised ring box, for storing the all-important precious accessory, on the big day and beyond.
This wooden wedding ring box is hand crafted from solid wood and created just for your occasion, with personalised engraved detail on the circular cover.
The featured box displays the couple's bespoke initials and is ideal as a wedding or engagement gift, keepsake, or accessory for the happy couple to commemorate the start of their journey together.
Each personalised wedding ring box is created using solid wood with engraved detail and measures 40mm x 40mm.
This Clouds and Currents product is crafted and finished by hand in our studio in rural Essex and each item is made to order. 
Love our heart design? Check out our Personalised Heard CD Box here:
https://www.etsy.com/uk/listing/264810875/personalised-heart-cd-box
and Personalised Heart Wine Bottle Stopper here:
https://www.etsy.com/uk/listing/264812945/personalised-heart-wine-bottle-stopper
______________ How to Order _____________
 Add the item to your cart. In the 'Notes to Clouds and Currents' box please include the following information:
1. First initial (e.g. T) (required)
2. Second initial (e.g. M) (required)
Want it gift wrapped? Visit the link below:
https://www.etsy.com/uk/listing/203963987/gift-wrap-and-card-for-any-clouds-and
        ",23.88,4.8382,"Handmade item
Occasion: Wedding
Holiday: Valentine's Day
Material:  Solid Wood
Made to order
Ships worldwide from  United Kingdom
Feedback:  1342 reviews
Favorited by:  2877 people",Weddings Decorations Ring Bearer Pillows Ring Box,1342.0,2877.0,https://www.etsy.com/listing/230830798/personalised-wedding-ring-box-rustic,"https://img0.etsystatic.com/109/1/7131834/il_fullxfull.939705216_jc5f.jpg,https://img1.etsystatic.com/055/1/7131834/il_fullxfull.761351685_d3r6.jpg,https://img0.etsystatic.com/054/0/7131834/il_fullxfull.761231170_dz3g.jpg,https://img0.etsystatic.com/066/0/7131834/il_fullxfull.761231226_68qz.jpg,https://img1.etsystatic.com/074/0/7131834/il_fullxfull.810075979_83oe.jpg",,,202
11767,Personalised Duo Destination Wedding Guest Book - Map Guest Book - Wooden Guest Book - Travel Wedding - Destination Map - Couples Gift,"
            A personalised destination map guest book, beautifully engraved with your choice of two locations and bespoke wording to make your guest book completely unique to you!
This guest book can be personalised with any two destinations of your choice, be it home countries, places you have visited, or significant destinations of any kind.
Simply choose your two favoured destinations, and off you go!
The book comprises of 30 sheets (60 sides) of high quality 160gsm ivory paper as standard, with two sheets of 175gsm embossed paper at the front and back, in a bespoke engraved birch wooden cover. The two sheets of coloured paper will determine the colour of the heart, as seen through the cut out section of the front cover. Take a look at our colour swatch image to choose the shade that suits you.
Additional guest book paper can be purchased from the link below:
https://www.etsy.com/listing/160498911/10-extra-guest-book-sheets
Accentuate your guest book by adding a bespoke mini heart token, engraved for extra detail with your specific wording upto a maximum of 25 characters, including spaces. To include a mini heart with your order, make sure to select an option which includes a mini heart token from the drop down menu when choosing the size of your guest book!
Our Twig Pens are available to add to your order via the link below, to ensure that your guests 'sign in' in style! Why not include an engraved Twig Pen, to make it even more personal to you!
https://www.etsy.com/uk/listing/191093118/twig-pen
At Clouds and Currents, we love to get things right, first time. We'll email you a digital proof of your design, usually within 2-3 days of accepting your order, so you can check the details before we go ahead and create your bespoke guest book.
Please note that delays in approving the proof may lengthen the dispatch date.
Each of our guest books are created solely in the UK, using only the highest quality papers and birch wood. An A5 guest book measures 212mm x 150mm, and an A4 guest book measures 303mm x 215mm
This Clouds and Currents product is crafted and finished by hand in our studio in rural Essex and each item is made to order. 
______________ How to Order _____________
Choose the size of guest book (with or without mini heart token) you require from the drop down menu. From the second drop down menu, choose the colour of paper you would like for the front and back inner sheets, and then and add the item to your cart. In the 'Notes to Clouds and Currents' box please include the following information:
1. First line wording (30 characters maximum) (if required)
2. Second line wording (30 characters maximum) (if required)
3. Third line wording (30 characters maximum) (if required)
4. Country 1 (15 characters maximum) (required)
5. Description of country 1 (e.g. the proposal) (15 characters maximum)
6. Location of heart cut-out 1 (25 characters maximum)
7. Country 2 (15 characters maximum) (required)
8. Description of country 2 (e.g. the wedding) (15 characters maximum)
9. Location of heart cut-out 2 (25 characters maximum)
10. Mini heart personalisation (only required if the mini heart token option is chosen above) (25 characters maximum)
Want it gift wrapped? Visit the link below:
https://www.etsy.com/uk/listing/203963987/gift-wrap-and-card-for-any-clouds-and
        ",59.70,4.8382,"Handmade item
Occasion: Wedding
Primary color: Beige
Secondary color: White
Materials:  Birch Wood Covers, High Quality Papers, Binding Ring Fastners
Made to order
Ships worldwide from  United Kingdom
Feedback:  1342 reviews
Favorited by:  204 people",Weddings Gifts & Mementos Guest Books Destination Wedding,1342.0,204.0,https://www.etsy.com/listing/166278776/personalised-duo-destination-wedding,"https://img0.etsystatic.com/105/1/7131834/il_fullxfull.973824408_fweh.jpg,https://img1.etsystatic.com/017/0/7131834/il_fullxfull.493545617_8u7s.jpg,https://img1.etsystatic.com/074/0/7131834/il_fullxfull.806059835_4gzl.jpg,https://img1.etsystatic.com/076/0/7131834/il_fullxfull.806060607_fqvv.jpg,https://img1.etsystatic.com/072/0/7131834/il_fullxfull.806060071_6jme.jpg",,,202
18796,personalized flip flops - life is better in flip flops personalized custom flip flops,"
            ► Shipping lead time is approximately 1-3 business days.
____________________________________________________
How to order:
► Add all the personalization details (monogram, initial, name, whatever you like) as well as your color choices in the ""notes"" section at checkout.   
That's it - we'll start crafting your order with ♥ right away!
____________________________________________________
Looking for a fun keepsake from a trip to the beach or maybe for a bachelorette party favor?  These ""life is better in flip flops"" flip flops are not only practical, they are also adorable and a great keepsake for years to come.  Perfect for girls weekend gifts!  Available in three different sizes!
Size: S
Approx. W sz. 7/8, M sz. 8/9	
9.75"" tall x 3"" wide
Size: M
Approx. W sz. 9/10, M sz. 10/10.5
10.5"" tall x 3"" wide
Size: L
Approx. W sz. 11/12, M sz. 11/12
11.5"" tall x 3"" wide        ",20.00,4.8382,"Handmade item
Material:  flip flops
Made to order
Ships worldwide from  United States
Feedback:  736 reviews
Favorited by:  52 people",Shoes Unisex Adult Shoes Sandals Flip Flops & Thongs,736.0,52.0,https://www.etsy.com/listing/234246714/personalized-flip-flops-life-is-better,"https://img1.etsystatic.com/061/0/10650288/il_fullxfull.782261201_dixq.jpg,https://img0.etsystatic.com/067/0/10650288/il_fullxfull.775508572_3evh.jpg,https://img1.etsystatic.com/130/0/10650288/il_fullxfull.1090518379_r9cs.jpg",,,202
