,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
320,"Wanderlust Travel Wallet, Women and Men Zipper Card Holder, Small Change Purse, World Map Wallet for Her and Him, Wallets for Woman and Man","
            This cheerful little zip wallet with world map print is perfect for little stuff like coins, cards and small accessories. I myself find it very handy when I go out and don't want to bring my big wallet.
It’s a great way to organize your belongings like earrings, (in-)ear phones, business cards, paper money, keys and small cosmetic items.
Whatever you may use it for, this cute little purse hopefully will make you smile every time you see it :)
Would you like a custom order? I’m all ears! Contact me and please let me know.
Thank you for stopping by!
Cheers, Irene
Well-crafted and made with care by Viggi Handmade 
in IJsselstein, Utrecht, The Netherlands
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Details of the Purse:
◊ cotton canvas with coloured world map print
◊ lined & zippered
◊ ± 5 x 3½ inch (13 x 9 cm)
◊ zipper opening ± 4½ inch (11 cm)
◊ leather zip pull*
* I could change it for a vegan zip pull if you like, please let me know.
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Find & follow me here:
◊ www.INSTAGRAM.com/viggihandmade
◊ www.PINTEREST.com/viggihandmade
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Please note: 
The current turnaround time is 3 to 5 business days. No two pouches are exactly alike, but all are equally beautiful. Pattern placement and the inside lining may vary. Colors may appear different due to monitor variations. Items in the photo other than the pouch itself aren’t included; they’re only photo props. 
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: 
Back to the shop:
◊ 
https://viggihandmade.etsy.com
        ",14.00,4.9619,"Handmade item
Materials:  cotton canvas, world map print, ykk zipper, leather zip pull, cotton lining, love
Made to order
Ships from  The Netherlands  to  select countries .
Feedback:  311 reviews
Favorited by:  1148 people",Bags & Purses Wallets & Money Clips small travel wallet travel wallet,311.0,1148.0,https://www.etsy.com/listing/263908495/wanderlust-travel-wallet-women-and-men,"https://img0.etsystatic.com/174/1/7072907/il_fullxfull.1117753906_61cs.jpg,https://img1.etsystatic.com/169/0/7072907/il_fullxfull.1164362297_rrk7.jpg,https://img0.etsystatic.com/166/0/7072907/il_fullxfull.1117753890_cfis.jpg",,,166
407,"Fox Coin Purse, Zipper Wallets, Woman Pouch, Card Holder, Change Wallet, Women Make Up Bag, Gift for Her","
            This cheerful little zip pouch is perfect for little stuff like coins, cards and small accessories. I myself find it very handy when I go out and don't want to bring my big wallet.
It’s also a great way to organize your belongings like earrings, (in-)ear phones, business cards, paper money, keys and small cosmetic items.
Whatever you may use it for, this cute little foxy purse hopefully will make you smile every time you see it :)
Would you like a custom order? I’m all ears! Contact me and please let me know.
Thank you for stopping by!
Cheers, Irene
Well-crafted and made with care by Viggi Handmade 
in IJsselstein, Utrecht, The Netherlands
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Details of the Purse:
◊ orange foxes on a light coloured cotton canvas
◊ lined & zippered
◊ ± 5 x 3½ inch (13 x 9 cm)
◊ zipper opening ± 4½ inch (11 cm)
◊ upcycled leather zip pull*
* I could change it for a vegan zip pull if you like, please let me know.
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Find & follow me here:
◊ www.INSTAGRAM.com/viggihandmade
◊ www.PINTEREST.com/viggihandmade
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::
Please note: 
The current turnaround time is 3 to 5 business days. No two pouches are exactly alike, but all are equally beautiful. Pattern placement and the inside lining may vary. Colors may appear different due to monitor variations. Items in the photo other than the pouch itself aren’t included; they’re only photo props. 
:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: 
Back to the shop:
◊ 
https://viggihandmade.etsy.com
        ",14.00,4.9619,"Handmade item
Materials:  cotton canvas, zipper, foxes, leather zip pull, lining, love
Made to order
Ships from  The Netherlands  to  select countries .
Feedback:  311 reviews
Favorited by:  2397 people",Bags & Purses Pouches & Coin Purses fox coin purse wallets for women,311.0,2397.0,https://www.etsy.com/listing/261335350/fox-coin-purse-zipper-wallets-woman,"https://img1.etsystatic.com/173/0/7072907/il_fullxfull.1158485665_5fiu.jpg,https://img1.etsystatic.com/161/0/7072907/il_fullxfull.1147105721_l8od.jpg,https://img0.etsystatic.com/153/0/7072907/il_fullxfull.1100515784_1wet.jpg",,,166
1234,14k Gold Pansy Ring | Blue Enamel Pansy Ring | Vintage Pin Conversion Ring | 14k Gold Ring | Pansy Flower Ring,"
            Shakespeare referred to pansies as ""Cupid's flower.""  In a Midsummer Night's Dream, Oberon and Puck schemed to put drops of pansy juice in a sleeping Demetrius' eyes to make him fall in love with the first woman he saw upon waking.
This lovely ring features a finely enameled blue pansy of 14k gold with a pearl center on a 14k gold band. The flower on this ring was originally part of a vintage pin (circa 1960) that we converted into a ring.
The pansy measures measures 0.6 inches (14mm) tall by 0.6 inches (14mm) wide and the condition is excellent.
The ring is currently a size 6.5, but it can be re-sized free of charge. 
We have many other fantastic offerings of period fine and costume jewelry posted on our Etsy store, so please consider browsing our other items. We send all items in individually packaged gift boxes and offer layaway plans!
___________________________________________________________________________
 Trademark Antiques Shop Homepage
https://www.etsy.com/shop/TrademarkAntiques
 Our Store Policies
https://www.etsy.com/shop/TrademarkAntiques/policy?ref=shopinfo_policies_leftnav
 Connect with us on Social Media
(Get access to monthly giveaways, special sales, and sneak peeks at our new items before they're listed on our store)
FACEBOOK- https://www.facebook.com/pages/Trademark-Antiques/670804686315461
INSTAGRAM- http://instagram.com/trademarkantiques
BLOG- http://trademarkantiques.wordpress.com/
PINTEREST- http://www.pinterest.com/TMAntiques/
TWITTER- https://twitter.com/TrademarkLTD
C945        ",585.00,4.9623,"Vintage item from the 1960s
Materials:  enamel, 14k gold, gold, 14k, yellow gold, pearl
Ships worldwide from  United States
Feedback:  798 reviews
Favorited by:  394 people",Jewelry Rings Statement Rings vintage pansy ring,798.0,394.0,https://www.etsy.com/listing/488968325/14k-gold-pansy-ring-blue-enamel-pansy,"https://img1.etsystatic.com/168/0/9579656/il_fullxfull.1119807095_gz82.jpg,https://img1.etsystatic.com/136/0/9579656/il_fullxfull.1119807151_lqqq.jpg,https://img0.etsystatic.com/180/0/9579656/il_fullxfull.1073219758_ewtf.jpg,https://img0.etsystatic.com/158/0/9579656/il_fullxfull.1073219834_emk0.jpg",,,166
2238,Buffalo Nickel Pendant ~ Bulk Options~ True Vintage Chief Charm gold silver ~ festival ~ Native American Indian Jewelry ~ outlaw M163,"
            *vintage buffalo nickel pendant, one per order 
*nickel may move in setting
*unmarked as to metal content or maker,patina will vary
*please enlarge photos for size and surface condition
***Expedited shipping available! Just put your items in the shopping cart & choose priority mail from drop down menu during checkout***
**DIY necklace! View our charm holders here-
  
https://www.etsy.com/shop/madmadcrafter?ref=hdr_shop_menu§ion_id=7667883
***Link to Antiquejewlerysupply Storefront*** 
www.etsy.com/shop/antiquejewelrysupply
  ***
**Our other Etsy shops-
   
www.etsy.com/shop/luxrevival
   
www.etsy.com/shop/madmadcrafter
**Follow us! 
    Instagram - @antiquejewelrysupply, @luxrevival, @madmadcrafter
    Twitter - https://twitter.com/luxrevival
    Pinterest - http://pinterest.com/luxrevival/        ",14.00,4.9639,"Vintage item from the 1940s
Primary color: Silver
Secondary color: Gold
Materials:  Silver plate setting, Buffalo nickel, Nickel
Ships worldwide from  United States
Feedback:  944 reviews
Favorited by:  394 people",Jewelry Bracelets Charm Bracelets Unisex,944.0,394.0,https://www.etsy.com/listing/245872517/buffalo-nickel-pendant-bulk-options-true,"https://img0.etsystatic.com/072/2/7259129/il_fullxfull.824831094_hv1f.jpg,https://img1.etsystatic.com/071/0/7259129/il_fullxfull.824605733_q8je.jpg,https://img1.etsystatic.com/072/0/7259129/il_fullxfull.824605751_cfg8.jpg",,,166
3031,Vintage Versace Medusa Head Button with Square Scroll around the perimeter in Matte Gold sold individually,"
            Vintage Versace Medusa Head Button with Square Scroll around the perimeter. They are plated in Matte Gold. These buttons are new and never been used.
These buttons are sold individually
There are three sizes 5/8"",  7/8"" and 10/8"" (1 1/4"")        ",3.95,4.8214,"Vintage handmade item
Materials:  metal, molded, brass oxide, antique brass, Matte Gold
Ships worldwide from  United States
Feedback:  74 reviews
Favorited by:  394 people",Craft Supplies & Tools Closures & Fasteners Buttons sew,74.0,394.0,https://www.etsy.com/listing/241593974/vintage-versace-medusa-head-button-with,"https://img1.etsystatic.com/069/0/11236354/il_fullxfull.806253473_t7s8.jpg,https://img0.etsystatic.com/075/0/11236354/il_fullxfull.806476796_7je2.jpg",,,166
6073,Dog ID Tag Dog Collar Tag Pet Tag Dog Tags for Dogs Pet ID Tag Hand Stamped Personalized,"
            ★★★Custom Pet ID Tag, Handmade in USA.★★★
★My original paw print pet id tag is hand cast from American jewelry grade lead free pewter, then hand stamped with your pet's name and phone number.
★Each tag is individually hand polished with a 4 step process both for beauty and to ensure all edges are smooth and safe.
★All color patinas are hand applied one tag at a time making each one unique, so the one you receive will vary slightly in appearance from the photos in my shop.
★Tag comes with American Made 5/8"" split ring to attach to the D-Ring on your pet's collar.
★Color patina options are Pewter, Blue, Red, Pink or Purple.
★To assure the highest quality craftsmanship I personally make everything I sell. All of my work is original, copyrighted, and available exclusively through me.
IMPORTANT ORDERING INFORMATION
★★★★★★★★★★★★★★★★★★★★★★
At checkout, in the box ""add an optional note to seller"", please include this information to be stamped on your pet ID tag:
1. Pet's Name
2. One Phone Number
★★★★★★★★★★★★★★★★★★★★★★
★Large is 1 1/4"" diameter - 9 letters max for pet's name & one phone number.
★Small is 1 1/8"" diameter - 7 letters max for pet's name & one phone number.
★Thanks for Visiting my Etsy Shop! Please contact me if you have any questions, I will be happy to answer them.
★Check out my complete line of custom pewter pet id tags at 
http://www.aaronalbrecht.etsy.com
and my other ETSY shop 
www.etsy.com/shop/AAgrafix
★★★Copyright © 2011-2017 Aaron Albrecht. All Rights Reserved.★★★        ",14.00,4.978,"Handmade item
Materials:  pewter, hand stamped, metal, handmade, handstamped, hand cast pewter, handmade in minnesota, personalized
Made to order
Ships worldwide from  United States
Feedback:  3849 reviews
Favorited by:  1886 people",Pet Supplies Pet Collars & Leashes Pet Id Tags dog tag,3849.0,1886.0,https://www.etsy.com/listing/181717119/dog-id-tag-dog-collar-tag-pet-tag-dog,"https://img0.etsystatic.com/153/0/6477171/il_fullxfull.1116201064_b3us.jpg,https://img0.etsystatic.com/177/0/6477171/il_fullxfull.1124356552_hkol.jpg,https://img0.etsystatic.com/168/0/6477171/il_fullxfull.1122917494_9x3q.jpg,https://img0.etsystatic.com/171/0/6477171/il_fullxfull.1122917580_3dgj.jpg,https://img0.etsystatic.com/172/0/6477171/il_fullxfull.1130128942_6oe7.jpg",Blue,,166
6074,Pet ID Tag / Personalized Pet ID Tag / Dog Tag  / Pet Tag / Cat Tag / Dog Tag for Dogs / Personalized Dog Tag - Pet Accessories,"
            This is a 1"" Aluminum and 3/4"" Copper Tag with a cute little silver daisy charm, separate pieces. De-burred and buffed to a smooth finish, ready to customize with your pet's name.
2 split rings are included for a collar ready tag.
Your Furry Friend can have up to 8 letters in their name for this design. If you need a tag for a larger name, no problem, we can design something for you.
All tags are made of sturdy 14, 16 and/or 18 gauge metal and tags are clear coated.
At Furry Friends ID all designs are stamped by hand. With some slight variations in spacing and depth every tag is unique for your pet.
IMPORTANT AT CHECKOUT:
Leave your pet's name and phone # in the note to seller at checkout.
Thanks for taking a look.
 © Copyright Furry Friends ID 2013        ",14.00,4.9137,"Handmade item
Materials:  metal, copper, aluminum
Made to order
Ships worldwide from  United States
Feedback:  1525 reviews
Favorited by:  1955 people",Pet Supplies Pet Collars & Leashes Pet Id Tags dog tag,1525.0,1955.0,https://www.etsy.com/listing/175920464/pet-id-tag-personalized-pet-id-tag-dog,https://img0.etsystatic.com/039/0/8825606/il_fullxfull.551402980_3kvh.jpg,,,166
6341,"JAWS vs CLAWS - SHARK - Catnip Cat toy, cat toy, catnip toy, shark, catnip shark","
            JAWS V.S. CLAWS!
108 Days until shark week! Slightly early but hey, at least you'll know it'll arrive in time!
Our Catnip SHARKS comes in 4 colors! FOUR! Get one or all four! But just make sure it's a fair fight, though I'm sure your kitty has no trouble taking them all on. 
This SHARK makes a great unique gifts too for your fellow cat lady/man friends!
---------------------------------------------------------------------------------------------------------
Remember to follow and tag us in your photos with our toys on INSTAGRAM @DINGLEBERRYPETS!
---------------------------------------------------------------------------------------------------------
This item is made from felt. Filled with 100% ORGANIC catnip and polyester stuffing. The SHARK is 100% hand-stitched. (may contain non-toxic fabric glue)
Measurements are about 4.5 inches x 3 inches (width is shark fin to shark fin)
*Small variations in products may exist as each piece is one-of-a-kind.
Please note that this listing is for one SHARK
---------------------------------------------------------------------------------------------------------
*Due to the thickness of the item, Canada Post only allows shipping by parcel hence the higher shipping cost. Since these items are light, I encourage you to select a few more items to be purchased and shipped together to make the most of your shipping costs.
SHIPPING COSTS: All shipping in excess of 1.00 will be refunded.
---------------------------------------------------------------------------------------------------------
All designs and images are copyright protected and are the property of Dingleberry Pets.        ",7.71,4.9742,"Handmade item
Material:  catnip
Made to order
Ships worldwide from  Canada
Feedback:  237 reviews
Favorited by:  394 people",Pet Supplies Pet Toys Cat Toys shark,237.0,394.0,https://www.etsy.com/listing/273615360/jaws-vs-claws-shark-catnip-cat-toy-cat,"https://img1.etsystatic.com/116/0/12432624/il_fullxfull.992338591_1ts6.jpg,https://img0.etsystatic.com/105/0/12432624/il_fullxfull.945785688_qiud.jpg,https://img1.etsystatic.com/114/0/12432624/il_fullxfull.992338667_e0ws.jpg,https://img0.etsystatic.com/111/0/12432624/il_fullxfull.945785780_cx8c.jpg",Gray,,166
6945,"Funny Mother's Day Card- Golden Girls inspired, Shady Pines","
            Perfect Mother's Day card for the Golden Girls fan!  Nothing warms a mom's heart more than threatening to send her to a retirement home.
Inside of card: Blank
-Size: A5 (4.25 x 5.5)
-Original design
-Professionally printed on 100# white linen cardstock
-Includes white envelope
Packaged in a clear sleeve and shipped in a rigid mailer.
***WATERMARK WILL NOT APPEAR ON CARD***
Copyright 2015 Perks of Aurora        ",3.75,4.9639,"Handmade item
Ships worldwide from  United States
Feedback:  4513 reviews
Favorited by:  1389 people",Paper & Party Supplies Paper Greeting Cards shady pines,4513.0,1389.0,https://www.etsy.com/listing/229652543/funny-mothers-day-card-golden-girls,https://img1.etsystatic.com/057/0/7764734/il_fullxfull.756461641_snfx.jpg,,,166
7274,"Monogram Frost-Flex Shatterproof Cups, Personalized Shatterproof Wedding Cups, Custom Printed Clear Frost-Flex Cups","
            Personalize these Monogram Frost-Flex Shatterproof Cups with any of our designs, fonts or monograms of your choice. These cups are perfect for serving beer, wine, cocktails and soft drinks.  The shatterproof frost flex cups make a fabulous accessory for any occasion.  They are ideal for parties, BBQ's, weddings and birthdays.  Available in 9 sizes, and a number of colors and trendy font styles.  The cups are reusable.  Minimum of 50, may order in multiples of 50 thereafter.  Wonderful discount pricing for larger orders.
FEATURES:  Available in 9 sizes, and dozens of colors and trendy font and monogram styles.  The cups are reusable, BPA-free and top-shelf dishwasher safe.  Elegant for poolside and bar.  Perfect for venues that do not allow glass any longer.  Volume pricing makes these a wonderful bargain!
CUP SIZES: 5 oz, 8 oz, 9 oz, 10 oz, 12 oz, 14 oz, 16 oz, 20 oz, 24 ounces. Please note that cup size indicates how much liquid the cup holds when filled to the very tip top of the cup.  
 
INCLUDES:  
--Optional printing on both sides. Either same text as front, or something completely different. 
--One color imprint.  (We can print in two colors for an additional fee)  
--Up to 5 lines (or 4 lines and art) per side
--Complimentary digital proof for your approval before it goes into production.  Each additional proof/change requested is 5
  
PLACING ORDER - Please indicate the following in the message to seller at checkout:
--Ink Color
--Font(s)
--Monogram Style (optional)
--Design (optional)
--Text to Print
--Date Needed (If this is time sensitive, you must put the date needed in the note to seller) 
--Any comments you wish me to know. We cannot be responsible to match convo's to orders. 
   
Feel free to place an order from this listing, or convo me to set up a custom listing just for you. 
TURNAROUND: Please allow 7-10 business days to process the order before shipping to avoid rush fees.  
OTHER DRINKWARE: We also have styrofoam, stadium and clear plastic cups available.
REGARDING COLORS:  Please note, all computer screens/monitors are calibrated differently. Therefore, we can not guarantee the color on your screen will match the actual color.        ",48.95,4.9639,"Handmade item
Occasion: Wedding
Materials:  frost flex plastic, shatterproof plastic, bpa free plastic
Made to order
Only ships within  United States .
Feedback:  5478 reviews
Favorited by:  2188 people",Weddings Gifts & Mementos Wedding Favors Austin Texas,5478.0,2188.0,https://www.etsy.com/listing/197291197/monogram-frost-flex-shatterproof-cups,"https://img0.etsystatic.com/041/0/7386575/il_fullxfull.630565152_pk6l.jpg,https://img0.etsystatic.com/040/0/7386575/il_fullxfull.612632830_thjl.jpg,https://img1.etsystatic.com/129/0/7386575/il_fullxfull.920628937_k44y.jpg,https://img1.etsystatic.com/104/0/7386575/il_fullxfull.920629367_mfys.jpg,https://img0.etsystatic.com/124/0/7386575/il_fullxfull.920883646_msrc.jpg",,,166
