,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
909,NEW Tiffany & Co. Sterling Silver Twist Knot Stud Earrings,"
            NEW Tiffany & Co. Sterling Silver Twist Knot Stud Earrings.
Stunning and timeless. Will surely become one of your favorites. Always in style.
Weight: 2.9 grams.
Size: Earrings are 8mm wide.
Hallmarks: T & Co. 925 on posts, backs are also marked for Tiffany.
Condition: Excellent. New, never used.
Metal: Sterling Silver.
Other: No Tiffany box or pouch is included.
We guarantee authenticity on all our jewelry items.        ",89.99,4.9886,"Vintage item
Material:  Sterling Silver
Only ships within  United States .
Feedback:  88 reviews
Favorited by:  118 people",Jewelry Earrings Stud Earrings Tiffany Earrings,88.0,118.0,https://www.etsy.com/listing/479086375/new-tiffany-co-sterling-silver-twist,"https://img1.etsystatic.com/123/0/8265924/il_fullxfull.1090640445_fb80.jpg,https://img0.etsystatic.com/139/0/8265924/il_fullxfull.1044085196_ddkd.jpg,https://img1.etsystatic.com/117/0/8265924/il_fullxfull.1090640673_olnf.jpg,https://img1.etsystatic.com/119/0/8265924/il_fullxfull.1090640757_hypq.jpg",,,230
1020,Silver Art Nouveau Medallion Statement Earrings with oval cut acrylic crystal (Bridal Jewelry) Vintage Dramatic dangle wedding earring,"
            White acrylic Crystal medallion chandelier earrings put a touch of fantasy and glamour on your ears. Dramatic and brilliant shine from the smoky gems create a perfect earrings for a floral lace wedding gown. These are beautiful statement earrings can also dress up any outfit.  Perfect gift for brides, valentine's day or birthday.
Material: silver steel base with acrylic crystal set stones (lead and nickel free)
Earring Size: 3 inches (7.5cm) long
Condition: Excellent, no damage to stud or setting, stones are intact with slight scuffing, non-design brand costume jewelry grade earring.        ",19.95,4.8317,"Vintage handmade item
Materials:  chains, earring hook, pendant, crystal, chandlier drop
Ships worldwide from  United States
Feedback:  796 reviews
Favorited by:  118 people",Jewelry Earrings Chandelier Earrings victorian earrings,796.0,118.0,https://www.etsy.com/listing/261832238/silver-art-nouveau-medallion-statement,"https://img0.etsystatic.com/130/1/5730525/il_fullxfull.940274698_l15i.jpg,https://img0.etsystatic.com/135/1/5730525/il_fullxfull.940274708_p343.jpg,https://img0.etsystatic.com/136/0/5730525/il_fullxfull.940274710_hrh1.jpg",,,230
1814,Decorative Antique French Louis Philippe Mirror With Original Bronze Colored Paint Finish,"
            Beautiful decorative antique French Louis Philippe mirror with a bronze paint finish. It has great texture and patina.
The plaster frame is in good vintage condition with a few scuffs and areas missing in the paint. There are a few pieces missing form the moulded inside area/edge but this adds to the authenticity of the piece. A few little chips in the wood. Neither of these things detract from it's beauty.   
There are only a few aging spots to the mirror itself  No restoration has been done, just some light cleaning.
If you want to see more pictures, just send me a message.
It measures 19.2 inches (49 cm) tall and 15.6 inches (39 cm) wide.
Please note, antique & vintage pieces are considered used,and some may have slight imperfections or wear, as to be expected of antique/vintage items. We will note any major flaw, defects, etc. Photographs are also part of the description & at times can cause items to appear larger than they are. The color on the item may vary slightly from the color on your screen due to monitor color restrictions.
Layaways possible.
Shipping rates in the Netherlands go by weight (till 2 kilograms, till 5 kilograms and till 10 kilograms are different rates).
I gladly combine shipping, if you're interested in multiple items in my shop, please contact me so I can work out the correct shipping rate for you. Thanks in advance!
New items are listed daily.        ",143.24,4.986,"Vintage item from the 1910s
Materials:  Glass, Wood, Paint, Plaster
Ships worldwide from  The Netherlands
Feedback:  447 reviews
Favorited by:  118 people",Home & Living Home Décor Mirrors Mirror,447.0,118.0,https://www.etsy.com/listing/240228634/decorative-antique-french-louis-philippe,"https://img0.etsystatic.com/066/0/11110163/il_fullxfull.800827626_zsod.jpg,https://img0.etsystatic.com/061/0/11110163/il_fullxfull.800827792_ciod.jpg,https://img0.etsystatic.com/063/0/11110163/il_fullxfull.800827988_50bo.jpg,https://img0.etsystatic.com/064/0/11110163/il_fullxfull.800828102_hnnd.jpg,https://img1.etsystatic.com/061/0/11110163/il_fullxfull.800601969_pftb.jpg",,,230
3566,Mens Vintage Filson Mackinaw Cruiser Forest Green Heavy Wool Hunting Field Jacket Coat 38 40,"
            For sale is a vintage Mens Filson Forest Green Heavy Wool Mackinaw Cruiser. 
Filson is the gold standard for men's outdoor and field jackets. 
This jacket coat is in a dark forest green wool. Some of the photographs may make the fabric appear lighter than it is, due to the camera flash. 
There are no spots on this jacket, any spots in the photographs are caused by the camera.
Please note that the jacket size label has been cut out of this coat. 
This jacket is a heavy jacket, made from thick, heavy wool. 
The jacket is not lined. 
This coat does not look as if it has been worn. 
There is no wear seen on the surface of the wool. 
The measurement of the jacket across the back from underarm to underarm is approximately 22 inches. 
The measurement of the jacket from the center back at where the collar starts, but not including the collar down to the hemline is approximately 28.25 inches in length. 
The measurement of the sleeve from the top of the shoulder, where the sleeve meets the shoulder seam down to the sleeve hem is approximately 24.25 inches. 
Calling Filson about this jacket produced this information: 
This jacket is the Alaskan fit, not the trimmer Seattle fit. 
This jacket is a regular, not a long length. 
Filson said on this jacket, the size is between a 38 and a 40; since all the garments are made by hand, there is some natural variance in the size of the jackets. 
Product information from Filson: 
FEATURES: 
Button-front closure 
4 flap pockets, 1 patch pocket, 2 handwarmer pockets, 1 interior utility pocket, dual-access rear map pocket 
Button-adjustable cuffs 
Made with 100% virgin wool from the USA 
Classic Cruiser multi-pocket design 
Naturally water-repellent fabric
Please click the below to see more vintage men's fashions. 
https://www.etsy.com/shop/BathoryZ?section_id=15372984&ref=shopsection_leftnav_1
        ",250.00,4.8077,"Vintage item
Only ships within  United States .
Feedback:  104 reviews
Favorited by:  118 people",Clothing Men's Clothing Jackets & Coats Vintage Filson,104.0,118.0,https://www.etsy.com/listing/224546544/mens-vintage-filson-mackinaw-cruiser,"https://img1.etsystatic.com/047/1/7216420/il_fullxfull.735294149_sz6a.jpg,https://img0.etsystatic.com/049/0/7216420/il_fullxfull.735161352_miah.jpg,https://img0.etsystatic.com/047/0/7216420/il_fullxfull.735132964_4639.jpg,https://img1.etsystatic.com/055/0/7216420/il_fullxfull.735294133_ihue.jpg,https://img1.etsystatic.com/055/0/7216420/il_fullxfull.735265109_ak5g.jpg",,,230
3711,"COOGI Australia M As NEW Sweater Mens Cotton, Authentic Coogi Long Sleeve Crew Neck Sweater, Hipster Textured Black Bold COLORFUL","
            COOGI Australia Crew-Neck Sweater wild Bright and Bold Colors 
Like a Box of Crayons
Mens size M
This particular sweater has a little weight to it. I would call it beefy weight.
Like NEW condition. Still has tags. *original Coogi thread puller tool is missing and braided white cord that is usually looped through the label is now attached to the Coogi hangtag.
COOGI Sweater Cotton
Wild squiggle 3D pattern.
Oversized Vintage 80s-90s Sweater.
Colorful and loud. Fabulous and you can wear it year round. 
** Amazing eye-catching, patterns, twists, elevations and color mixture. 
The Coogi texture can be described as ""quirky"".
Brand: COOGI Australia
Size Guy's M: looks true to size, nice and roomy like a Coogi should be.
(unisex styling appropriate for Ladies M/L depending on how baggy you like it) 
Made in Australia
Yarn content: 100% Mercerized Cotton. What is ""mercerised cotton?""
Mercerization is a treatment for cotton threads, that strengthens them and gives them a lustrous appearance. 
***************    *********************  **********************  *************
FABULOUS mix of 14 colors. A multitude of bright bold shades: red, school bus yellow, kelly green, bright aqua blue, bright grape purple, golden yellow, white, hot pink, bird egg blue, orange, mustard gold, and jade green. Trim around the neck cuffs and hem band are textured, black red and gray to compliment the main part of the sweater.
This pullover sweater has a crew neck. Boxy cut with Dolman style sleeves (so 80s!).
Knit bands are about 1.75"" wide at sleeve ends, 1.75"" at sweater bottom, and about 1.25"" wide around 
neck opening.
Men's M: Check measurements to assure best fit. 
 -Total length from shoulder to hem: 26.5"" (67.3cm)
- Drop shoulders measured straight up from both underarms: 28"" (71.1cm)
- 11"" underarm to shoulder (22"" around... roomy/comfortable fit)
- 33.5"" from center back neck to sleeve end (85cm)
- under sleeve measurement: 19.75"" (50.3cm)
- underarm to underarm seam: 24.75"" (62.8cm)
- chest: 49.5"" unstretched (extra natural stretch if you need it) (125.6cm)
- Bottom hem band side to side: 19.25"" (48.8cm) or 38.5"" around (97.6cm)
Condition: New Condition. No snags, no flaws, no funny odors. Clean and ready to wear. Smoke-free home. Cat free home.
***************    *********************  **********************  *************
 50-60 Other COOGI sweaters in my shop. Stop back again. I list vintage Coogis almost daily.
https://www.etsy.com/your/listings?shipping_profile_id=&search_query=coogi
Other vintage sweaters in my BlueRoseRetro shop for MEN:
https://www.etsy.com/shop/BlueRoseRetro/search?search_query=sweatermen&order=date_desc&view_type=list&ref=shop_search
Other sweaters in my BlueRoseRetro shop for Unisex and Women:
https://www.etsy.com/shop/BlueRoseRetro/search?search_query=sweater&order=date_desc&view_type=list&ref=shop_search
Return to my BlueRoseRetro shop:
http://www.etsy.com/shop/BlueRoseRetro?ref=si_shop
        ",240.00,4.9063,"Vintage item from the 1980s
Primary color: Rainbow
Secondary color: Black
Size: M US Men's
Materials:  cotton, mercerized cotton
Ships worldwide from  United States
Feedback:  819 reviews
Favorited by:  118 people",Clothing Men's Clothing Sweaters Pullovers,819.0,118.0,https://www.etsy.com/listing/491627124/coogi-australia-m-as-new-sweater-mens,"https://img1.etsystatic.com/176/0/5527590/il_fullxfull.1229178791_cjv6.jpg,https://img1.etsystatic.com/177/0/5527590/il_fullxfull.1229178793_pqav.jpg,https://img1.etsystatic.com/175/0/5527590/il_fullxfull.1229178789_ssw7.jpg,https://img0.etsystatic.com/163/0/5527590/il_fullxfull.1181964044_5kyb.jpg,https://img0.etsystatic.com/166/0/5527590/il_fullxfull.1181964050_a1hw.jpg",,,230
3871,Great Lakes Map 1938,"
            This is a beautiful, high quality print of the NOAA historical chart of the Great Lakes from 1938. 
We take great care to ensure that the best materials, packaging and service are part of every order.
 
OUR PRINTING PROCESS (printers, inks & paper)
Our nautical charts and maps are printed on high-end professional equipment using art-quality archival inks and paper.  
 
The paper used for 18”x18” prints and larger is an acid-free 32lb bond with a smooth matte, non-glare finish. Prints 13”x19” and smaller are printed on sturdy acid-free card stock with a matte finish.
 
The inks used in the process are professional grade to provide rich and authentic color and are acid-free to ensure that the prints will not fade over time.
 
The size of each print refers to the actual size of the paper on which they are printed, leaving a .25” white boarder around the image.  The prints fit nicely inside standard sized frames of the same dimension. 
 
DIGITAL RESTORATION
All maps are meticulously digitally restored to provide you with a clean, clear and beautiful map that honors its period of origin.  
 
In this process imperfections are removed.  (Including:  creases, smudges, tears, discoloration caused by age, non-original stamps, etc.)  The result is a gorgeous map reproduction true to its historical vintage.
 
PACKAGING AND SHIPPING
All prints are well packaged in sturdy tubes or envelopes to offer guaranteed protection.
 
Prints sized 13”x19” or smaller ship flat inside a sturdy cardboard shipping envelope with a cardboard insert for added reinforcement.  Each print is sealed inside a clear poly sleeve for protection and presentation.
 
Prints sized 18”x24” or larger ship loosely rolled in a sturdy shipping tube.  Each print is inside a plastic sleeve to add protection during shipping and in removing the print.
 
We fulfill all orders quickly and your print will arrive safely or we will replace it.
 
NEED A CUSTOMIZATION?
Maps can be personal and focus on the meaningful places in your life.  We can customize these to fit your specific need:
 
Size:  We can print maps in just about any size, from postcard to oversized ‘statement’ pieces.  If you have a size request that is not posted here just let us know.
 
Color: We can modify coloration of just about any map.  We can match colors of maps to make a complementary set, or can colorize a map to make fun and colorful.
 
Zoom-in:  If there is a particular harbor or island that you would like emphasized, we can create a custom map by zooming in on ‘your area’. 
 
Personalization:  We can personalize any map to add names and dates - perfect for weddings, anniversaries, yacht club cruises, etc.  
 
Material: If you would like to have your map printed on another material such as canvas, tyvek, glossy paper, etc. please contact us.
 
CUSTOMER SERVICE:
Nautical Chart Prints prides itself on excellent quality and outstanding customer service at every step of the process.  We are available to answer questions before you order and you will be notified when the package ships and can track it to your doorstep. If you have any questions when it arrives please contact us.  We strive to make sure that every customer is happy with their map – simply message us and we will communicate with you quickly and directly.  
 
THANK YOU:
Thank you for visiting our shop!  Please do not hesitate to contact us any time.        ",19.95,4.9355,"Vintage item from the 1920s
Ships worldwide from  United States
Feedback:  190 reviews
Favorited by:  343 people",Art & Collectibles Prints Digital Prints map of Great Lakes,190.0,343.0,https://www.etsy.com/listing/224487657/great-lakes-map-1938,https://img1.etsystatic.com/051/0/10332194/il_fullxfull.735000301_jtxi.jpg,,,230
5626,Gold Vanity Brush,"
            Gold Vanity Hair Brush
Brush has several blemishes and scratches on back of it.  
Other than scratches, it is in great condition!
Picture looks more yellow than what it actually is.
PLEASE LOOK CAREFULLY AT PICTURES!!! 
PLEASE don't hesitate to ask for additional pictures for this item if interested!        ",8.00,4.4286,"Vintage item
Only ships within  United States .
Feedback:  13 reviews
Favorited by:  33 people",Accessories Hair Accessories Decorative Combs vanity brush,13.0,33.0,https://www.etsy.com/listing/293014019/gold-vanity-brush,"https://img0.etsystatic.com/109/0/8484740/il_fullxfull.971801936_42a8.jpg,https://img0.etsystatic.com/126/0/8484740/il_fullxfull.971802770_nuhz.jpg,https://img0.etsystatic.com/131/0/8484740/il_fullxfull.971802460_pzp9.jpg,https://img1.etsystatic.com/134/0/8484740/il_fullxfull.1018336307_19x2.jpg",,,230
6502,Baby Boy 4th of July Outfit - First Fourth of July Outfit - Baby Boy Clothes - First 4th of July Patriotic Baby - Stars Stripes,"
            New Little Man Stars and Stripes 4th of July Bodysuit.
-------------------------------------------------------------------------------------
*** Need this with a Birthday #? - You can order HERE:
https://www.etsy.com/listing/486046399/boys-first-birthday-outfit-patriotic?ref=shop_home_active_1
-----------------------------------------------------------------------------------------
Carter's brand 100% cotton BODYSUIT.
Pictured bodysuit is size Newborn. I can make the suspenders skinnier, if preferred (on smaller sizes)
Faux Suspenders with stars on blue
And a red and white striped, removable bow tie.
Bow tie can be all red and white stripe (as first picture) or can have a coordinating blue star center as shown in 2nd picture. Default bow tie is the all red / white stripe
Other Bow tie options available. 
See the Patriotic section of my shop:
https://www.etsy.com/shop/SewBoyBaby?ref=hdr_shop_menu§ion_id=15686770
Crafted in a pet-free / smoke-free home studio.        ",19.95,4.9203,"Handmade item
Materials:  velcro, fabric, thread, USA Made Ribbon, all cotton bodysuit
Made to order
Ships from  United States  to  select countries .
Feedback:  354 reviews
Favorited by:  982 people",Clothing Boys' Clothing Baby Boys' Clothing baby boy clothing,354.0,982.0,https://www.etsy.com/listing/232753329/baby-boy-4th-of-july-outfit-first-fourth,"https://img0.etsystatic.com/057/0/9583606/il_fullxfull.769365544_47jw.jpg,https://img1.etsystatic.com/057/0/9583606/il_fullxfull.769406729_amiy.jpg,https://img0.etsystatic.com/061/0/9583606/il_fullxfull.769365552_29pm.jpg,https://img1.etsystatic.com/065/0/9583606/il_fullxfull.769406745_q92r.jpg,https://img1.etsystatic.com/177/0/9583606/il_fullxfull.1111267073_m2q0.jpg",,,230
6831,His and Hers Key Holder - Key Hooks- Entryway Organization- Farmhouse Decor- Rustic Decor- Key Organizer- Key Storage- Housewarming Gift,"
            This adorable handmade His and Hers key holder is the perfect way to organize your keys! Hang it in your entryway so you never have to search for your keys again. This is the perfect addition to any farmhouse styled home or rustic chic home.  Pine wood is chosen, crafted, and stained. Then painted and adorned with two dark oil rubbed bronze hooks. The hooks almost look black. 
This is a great item for those that constantly are losing their keys, or those that love to be organized. It is such a cute addition to any home decor! 
The key holder is approximately 7.5 "" wide by 5.5"" tall. 
Want to save 10% on your order? Become a Cypress & Whim insider to receive a coupon usable on your order! To sign up copy and paste this link into a new tab in your browser. http://eepurl.com/bF5cH5 
To learn more about Cypress & Whim visit our about page through this link. -----  
https://www.etsy.com/shop/cypressandwhim/about?ref=shopinfo_about_leftnav
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Production Times and Rush Order Information
Please be aware of production times before purchasing, which can be found in the announcement section of my shop. If you need a rush order please message me with the date BEFORE purchasing. Rush orders are taken on a case by case basis only. I charge a 35% of the purchase fee for rush orders. This fee is for the cost of my overtime. This ""overtime"" was created in order to not put rush orders in front of orders that were placed before your order. Upon messaging me, I will see if I can accommodate you under my current work load. If I can, I will create a custom listing for 35% of the sign you would like made for the overtime charge. If you place a rush order before contacting me, I will contact you as soon as I see the order. If I do not have a response within three days of contacting you, I will have to cancel the order. If you have a rush order, feel free to provide your phone number and email. That way I can get in contact with you if I can not reach you through Etsy.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Want to learn more about Natural Designs by Rio? Visit our about page through this link. -----  
https://www.etsy.com/shop/NaturalDesignsByRio/about?ref=shopinfo_about_leftnav
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Production Times and Rush Order Information
Please be aware of production times before purchasing, which can be found in the announcement section of my shop. If you need a rush order please message me with the date BEFORE purchasing. Rush orders are taken on a case by case basis only. I charge a 35% of the purchase fee for rush orders. This fee is for the cost of my overtime. This ""overtime"" was created in order to not put rush orders in front of orders that were placed before your order. Upon messaging me, I will see if I can accommodate you under my current work load. If I can, I will create a custom listing for 35% of the sign you would like made for the overtime charge. If you place a rush order before contacting me, I will contact you as soon as I see the order. If I do not have a response within three days of contacting you, I will have to cancel the order. If you have a rush order, feel free to provide your phone number and email. That way I can get in contact with you if I can not reach you through Etsy. 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Hanger Information
This item comes with two d rings attached to the back for hanging. If you wish to hang it by a different method, (screwing directly into the wall) Please leave a note in notes to seller to not include d rings. 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Stain Information and Disclaimer
The wood for the sign is stained special walnut,dark walnut, or weathered gray. Please choose which color you would like at check out. Photos one through three are special walnut, four is dark walnut, and five is weathered grey. Darker wood grain will come up with darker marks, lighter more smooth wood grain, will come out more uniform and can be lighter. 
Please be aware that wood naturally has defects. Not every board is the same. There may be knots, wood grain and natural imperfections in your wood. These are hand and custom made, so they may vary from sign to sign. This sign is meant to be kept indoors. It can be used at an outdoor wedding, but I do not recommend keeping any of my current signs outside in the weather for extended periods of time as the stain may fade. 
© Copyright belongs to Natural Designs by Rio. Please do not copy our ideas or photos. Thank you!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Stain Information and Disclaimer
The wood for the key holder is stained dark walnut , Special Walnut, or Slate.  Darker wood grain will come up with darker marks, lighter more smooth wood grain, will come out more uniform and can be lighter.
Please be aware that wood naturally has defects. Not every board is the same. There may be knots, chips, wood grain, and natural imperfections in your wood. These are hand painted and custom made, so they may vary from sign to sign. The paint may look slightly different than it does in the photo. This sign is meant to be kept indoors. It can be used at an outdoor wedding or event, but I do not recommend keeping any of my current signs outside in the weather for extended periods of time as the stain may fade.
© Copyright belongs to Natural Designs by Rio. Please do not copy our ideas or photos. Thank you!        ",19.95,4.964,"Handmade item
Primary color: Brown
Secondary color: White
Occasion: Housewarming
Made to order
Ships worldwide from  United States
Feedback:  955 reviews
Favorited by:  7667 people",Home & Living Storage & Organization Hooks & Fixtures Key Hanger,955.0,7667.0,https://www.etsy.com/listing/265724290/his-and-hers-key-holder-key-hooks,"https://img1.etsystatic.com/128/0/9899522/il_fullxfull.910563415_gsxq.jpg,https://img0.etsystatic.com/113/0/9899522/il_fullxfull.910810184_bn4d.jpg,https://img0.etsystatic.com/107/0/9899522/il_fullxfull.910810172_hf8o.jpg,https://img1.etsystatic.com/102/0/9899522/il_fullxfull.1020842883_2h0j.jpg",,,230
7089,Watercolor Brush Lettering  worksheets Lower-case Alphabet  Practice Drills plus Tips - PDF File Only,"
            ** Upper and Lower case Bundle Pack available here: 
https://www.etsy.com/listing/484595996/upper-and-lower-case-alphabet-watercolor
*Upper-case Pack only, available here: 
https://www.etsy.com/listing/498082559/special-introductory-price-upper-case?ref=shop_home_active_2
Lettering with an actual brush & watercolors is hands down my favorite form of Hand-Lettering! Which is why I am so excited to share with all of you my Watercolor Brush Lettering Practice Sheets and Drills Pack! This set is for the lowercase alphabet only and it features my own (modern-calligraphy) lettering style as seen on my Instagram account @HoneyBopsDesigns. I will also be lettering the whole a to z alphabet there through real-time videos, so make sure to follow me!
Did you know that Lettering is also considered a form of illustration? This is why it is an artistic expression and a truly enjoyable one! With Watercolor Brush Lettering you can be as creative as you'd like!
NOTE: This pack includes only the LOWER-CASE ALPHABET. For best results, print your PDF at 100% on letter size paper.
These practice sheets are designed to help you gain control of your brush until you fall in love with it and it loves you enough to do everything you want it to do!
This style is so fun that I use it almost every day! I have stopped buying store-bought cards, and lettering them myself!
The final finished pieces are also fun to hang as nursery decor, children's room decor, office inspirationals, and home decor...the possibilities are endless!
THIS pack includes a total of 50 pages as follows:
- Practice Drills - 12 pages!
These drills are designed with some of the basic strokes required to form each lowercase letter and help you loosen up and develop the fine motor control skills for creating confident strokes.
- Lower Case Alphabet  - 26 Pages! - Each letter is broken down into it's main components with indicators that clearly delineate where thick and thin lines belong. 
- Supply List  Suggested Materials List (with pictures)
- Introduction to Basic concepts concerning Lettering and Muscle Memory
- Start Lettering! Some of my favorite tips and tricks to get you started on your lettering journey! How to hold the brush, how to position your paper, etc.
- Bonus Tips! Basic tips to make consistent strokes, improve legibility, and how to extend your letters for a more ""modern look""
 
You can print at home on regular printing paper to practice!
PLEASE READ THIS BEFORE PURCHASING:
- This listing is for a high resolution, letter size PDF file available as INSTANT DOWNLOAD
-This listing is for a digital, letter size PDF file sent to you via email. No printed items will be shipped to you. All images created at a high resolution. Prints beautifully!
- You will be responsible for printing and assembling.
- PDF files are non-editable. You will not be able to alter it with any photo editing program.
- You'll need to have the following software to open this file: Adobe Acrobat (which you can download for free at: www.adobe.com).
- This listing is for a NON-PERSONALIZED item.
- Color variations/color personalization is not included in this listing.
- Due to the nature of this item, purchases are NON-REFUNDABLE.
{Terms of Use: All Graphic Work is For Personal Non-Commercial Use Only. Thank You!}
*************************************************************
TO GET THIS INSTANT DOWNLOAD ITEM:
1. Purchase this listing
2. Once payment has cleared via Paypal, you will immediately receive a link to download your PDF file.
[KIND DISCLAIMER: Colors on your final, printed product may vary slightly from what you see on your computer screen due to differences in ink, paper and printing / processing methods (home printers, photo-labs, etc).        ",19.95,4.991,"Handmade item
Instant Digital Download: 1 PDF included
Material:  digital
Feedback:  616 reviews
Favorited by:  466 people",Craft Supplies & Tools brush lettering worksheets practice sheets,616.0,466.0,https://www.etsy.com/listing/494631409/watercolor-brush-lettering-worksheets,"https://img1.etsystatic.com/156/1/5260888/il_fullxfull.1138711151_cwty.jpg,https://img0.etsystatic.com/156/1/5260888/il_fullxfull.1092140910_3kx3.jpg,https://img0.etsystatic.com/157/0/5260888/il_fullxfull.1092200672_mwqy.jpg,https://img0.etsystatic.com/172/0/5260888/il_fullxfull.1092202542_p61f.jpg,https://img0.etsystatic.com/143/0/5260888/il_fullxfull.1092207044_au0x.jpg",,,230
