,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
25,"Vintage robot toy, tin robot wind up toy in brown and orange, collectible, walking robot toy, Chinese, robot clockwork toy, late eighties","
            Vintage robot toy is a tin robot, wind up toy in brown and orange.A collectible, walking robot toy, a Chinese, tin robot clockwork toy.It was made in the late eigties and is still in great, unused condition.It comes with its own key in its own little box.
This collectible robot can walk if you wind it and moves its arms and legs.It's got a simple, totally enchanting, squarish, stout look, a very basic robot look, that sets off its amazing, retro appearance.Its front and back is lithograhed with all the necesary robot looks perks.Tubes and clocks and gauges.its body is a chocolate brown, its arms and legs a lovely, matte orange and its feet are red.
This vintage, collectible wind up robot measures about 10cm in height and about 4cm in length and width ( 3.93'' x 1.57'' ).This is a very cool gift for men and boys, a great piece for nursery decor, also ideal for favours and  robot themed decor.It is also a great gift for a collector or curiosity cabinet.
This listing is for the brown collectible, robot toy only.
If you'd like to know more about this vintage, collectible robot wind up toy, we'd love to answer all questions.Please, read our policies carefully.Thank you for looking        ",17.50,4.9362,"Vintage item from the 1980s
Primary color: Brown
Secondary color: Orange
Holiday: Christmas
Occasion: Baby shower
Materials:  tin, metal, paint
Ships worldwide from  Greece
Feedback:  310 reviews
Favorited by:  416 people",Toys & Games Toys Wind-up Toys walking robot,310.0,416.0,https://www.etsy.com/listing/260168636/vintage-robot-toy-tin-robot-wind-up-toy,"https://img0.etsystatic.com/140/0/7149498/il_fullxfull.886728078_t73n.jpg,https://img0.etsystatic.com/125/0/7149498/il_fullxfull.886729888_rhst.jpg,https://img1.etsystatic.com/108/0/7149498/il_fullxfull.886497215_cl16.jpg,https://img0.etsystatic.com/116/0/7149498/il_fullxfull.886728990_5j7p.jpg,https://img1.etsystatic.com/105/0/7149498/il_fullxfull.886497209_3lkg.jpg",,,30
92,"Articulated Clown, Pierrot, Marionette Puppet French Vintage. Circa 1925","
            Articulated Clown, Pierrot, Marionette Puppet French Vintage. Circa 1925
Now a confession, I have researched this puppet for several hours to no avail. When I bought it I was told it dates from the 1920's. I have absolutely no doubt that the design dates from this period, however, I do have some doubt as to if its an original or a reproduction.
Regardless it is a lovely well made item, the image is paper which has been put on wood. 
I have taken a photograph of the back so any buyer can decide if its an original or a reproduction.
It is quite large being approx 13 inches tall and all the joints move freely. To make it move one pulls the string.
Postage is from France        ",39.80,4.9598,"Vintage item from the 1920s
Ships worldwide from  France
Feedback:  1195 reviews
Favorited by:  68 people",Toys & Games Toys Puppets Marionettes,1195.0,68.0,https://www.etsy.com/listing/398024189/articulated-clown-pierrot-marionette,"https://img0.etsystatic.com/112/0/6522364/il_fullxfull.983447382_tw77.jpg,https://img1.etsystatic.com/133/0/6522364/il_fullxfull.1029980305_kk6q.jpg,https://img0.etsystatic.com/108/0/6522364/il_fullxfull.983447454_3dei.jpg,https://img1.etsystatic.com/116/0/6522364/il_fullxfull.1029980351_61u4.jpg,https://img0.etsystatic.com/132/0/6522364/il_fullxfull.983447502_r2s9.jpg",,,30
254,"Dr Seuss Quote Leather Luggage Tag, Oh The Places Youll Go Hot Air Balloon Genuine Leather Graduation Gift, WanderLust Travel Gift","
            Dr Seuss Quote Leather Luggage Tag, Oh The Places Youll Go Hot Air Balloon Genuine Leather Graduation Gift, WanderLust Travel Gift
Precision cut from the highest quality thick harness leather, Exsect genuine leather luggage tags are sturdy, durable and designed to last for decades. 
2"" X 3.5"" hand dyed genuine leather luggage tags
Leather finish is SUNBURST (shown in images). Sunburst leather stain is exclusive to Exsect Inc. Ive been perfecting the technique since 2008!
All tags come with Super PREMIUM butter soft deerskin (not cheap suede) lace ties. Cut from North American whitetail deer hides, this premium lace is lightweight and has some stretch, but is extremely strong. 
**Personalization can not be added to these luggage tags.
***The design of this tag can not be altered. Additionally, the font or quote can not be changed.
****The grain side (back side of the leather) can not be tooled or embossed.***
(As seen in image 5)
You can see any embossing or tooling impression on the back permanently imprinted onto the front. It looks terrible and makes both sides illegible.
The backs of the tags are prepared so you can write on them with any Sharpie marker! Sharpie is permanent on these tags with no need for sealant. If you do want to seal your written address, phone number or name etc. on the back, I would highly suggest Krylon's Clear Matte Finish spray paint which can be found at any Walmart, Home Depot or Michael's.
Exsect Inc. leather luggage tags are novelty pieces. Tags do not have address card pockets nor am I able to hand write information or inscriptions on the back. All information for decorating the back of your luggage tags has been included above as well as decoration ideas and examples provided in the listing images.
To return to my shop, simply click here: 
http://exsect.etsy.com
Find all PERSONALIZED gift listings here: 
https://www.etsy.com/shop/Exsect?section_id=17881859
Find all BULK & WHOLESALE listings here: 
https://www.etsy.com/shop/Exsect?section_id=17080116
Etsy: 
http://exsect.etsy.com
Website: http://exsect.com
Instagram: @aminabaker.exsect        ",17.50,4.9195,"Handmade item
Primary color: Brown
Occasion: Graduation
Materials:  Genuine Leather, Non Toxic Dye, Non Toxic Paint, Genuine Leather Cord
Made to order
Ships from  United States  to  select countries .
Feedback:  1838 reviews
Favorited by:  1004 people",Bags & Purses Luggage & Travel Luggage Tags leather luggage tag,1838.0,1004.0,https://www.etsy.com/listing/211887138/dr-seuss-quote-leather-luggage-tag-oh,"https://img1.etsystatic.com/150/0/6956363/il_fullxfull.1227928339_l5ek.jpg,https://img0.etsystatic.com/060/1/6956363/il_fullxfull.685802782_cnm9.jpg,https://img1.etsystatic.com/054/1/6956363/il_fullxfull.685338867_6krn.jpg,https://img1.etsystatic.com/174/0/6956363/il_fullxfull.1111727027_5kml.jpg,https://img0.etsystatic.com/135/0/6956363/il_fullxfull.1053580628_g1af.jpg",,,30
603,"Toddler Boys Chinos, Boys Linen Shorts, Baby Boys Shorts, Linen Baby Shorts, Navy Linen Shorts, Baby Chinos, Boys Linen Pants","
            Vintage style little boys Chino Shorts 
Navy blue shorts made from a gorgeous linen/cotton blend fabric, with side pockets and back welt pocket. The waist is curved to go under tummies and has elastic at the back for a great fit and the perfect vintage shape. 
Team them with Edmund & Rose braces and a bow tie sets and a Harry Hat to complete the outfit!
Chino shorts can also be made in other colours, just contact me for details!
Shipping times and frequently asked questions click here: 
https://www.etsy.com/shop/EdmundAndRose?ref=hdr_shop_menu#policies
____________
The Edmund & Rose original collection is designed and handmade in Queensland, Australia from beautiful fabrics using techniques that produce high quality garments. Please allow time for your item to be made and shipped.
Follow me on Instagram: www.instagram.com/edmundandrose
Follow me on facebook: www.facebook.com/edmundandrose        ",23.31,4.912,"Handmade item
Primary color: Blue
Made to order
Ships worldwide from  Australia
Feedback:  129 reviews
Favorited by:  68 people",Clothing Boys' Clothing Pants Toddler Boys Chinos,129.0,68.0,https://www.etsy.com/listing/265299430/toddler-boys-chinos-boys-linen-shorts,"https://img0.etsystatic.com/133/0/11678028/il_fullxfull.909305344_grnf.jpg,https://img0.etsystatic.com/124/0/11678028/il_fullxfull.909305326_6k04.jpg,https://img0.etsystatic.com/107/0/11678028/il_fullxfull.909305292_9rzr.jpg,https://img0.etsystatic.com/113/0/11678028/il_fullxfull.909305304_6wek.jpg",,,30
1289,Tissot Seastar Valjoux 7733 Tachymeter Gents Chronograph Watch Stainless Steel Professionally Serviced 6 Months Warranty,"
            Tissot Seastar Navigator Valjoux 7733 Stainless Steel Mechanical Gents Chronograph Watch for Sale
Professionally serviced and authenticated with six months warranty
Please checkout low cost postage within UK!
Superb blue dial with silver hands red second hand and silver markers and outer Tachymeter 
Some slight scratches to case only and wear to fixed plastic bezel but very good condition for a 40  year old watch  
For more information on this tissot 2070 valjoux 7733 watch movement copy and paste the links below
http://www.ranfft.de/cgi-bin/bidfun-db.cgi?11&ranfft&2&2uswk&Valjoux_7733
See high resolution pictures for condition
Size 40.75mm without crown 43.75mm with crown 42.25mm lug to lug with a depth of 14.5mm all sizes approximate
Blue leather strap can be supplied with new strap if required
Watch is running exactly as it should for a classic High Quality Tissot Swiss gents chronograph
Please study High Resolution photos what you see is what you will receive some marks,dial patina and bezel wear but nothing too bad
Six months warranty against mechanical failure means a free repair
Please have seals checked prior to use in or near water as i cannot guarantee water resistance on vintage watches
The photos form part of the offer so please study carefully before buying as i will not accept returns unless not as described
I ship to western europe, north america, japan and australia, any other destinations ask or your purchase may be cancelled
International buyers welcome, postage applies to listed destinations, if you live in a non listed postal destination contact me to ask for costs        ",524.01,4.4,"Vintage item from the 1970s
Ships worldwide from  United Kingdom
Feedback:  10 reviews
Favorited by:  22 people",Jewelry Watches Wrist Watches Men's Wrist Watches,10.0,22.0,https://www.etsy.com/listing/491224613/tissot-seastar-valjoux-7733-tachymeter,"https://img0.etsystatic.com/155/0/12258849/il_fullxfull.1080204348_3vfo.jpg,https://img0.etsystatic.com/143/0/12258849/il_fullxfull.1080204404_tsfy.jpg,https://img0.etsystatic.com/179/0/12258849/il_fullxfull.1080204396_50gb.jpg,https://img1.etsystatic.com/141/0/12258849/il_fullxfull.1126797281_1by2.jpg,https://img1.etsystatic.com/155/0/12258849/il_fullxfull.1126797389_jsqz.jpg",,,30
1449,Donky kong country  Official Nintendo Power magazine  vol 66,"
            Donky kong country  Official Nintendo Power magazine  vol 66
Lovingly used and in tip top condition
1115 pages        ",4.00,4.9167,"Vintage item
Only ships within  United States .
Feedback:  29 reviews
Favorited by:  8 people",Electronics & Accessories Video Games Official Strategy Guide,29.0,8.0,https://www.etsy.com/listing/400629831/donky-kong-country-official-nintendo,https://img1.etsystatic.com/102/0/11546885/il_fullxfull.1041387603_pb3u.jpg,,,30
1678,Vintage Pinch Pleat Drapes|Vintage Colorful Curtains|Mid Century Curtains|Lattice Curtains|Colorful Curtains|Window Treatments,"
            These very rare original Mid Century lattice pinch pleated window drapes offer a bold yet airy statement. This price is for 1 pair. (2 panels) This fabric has an airy feel and has no lining so light will penetrate through. The lattice is a royal blue and teal color with florals of orange, yellow, pink, red and vintage green. The background is an off white/cream color. There is no lining on these pleated curtains and there are no tears, stains, mildew/scent. I have laundered these and they hold up just fine. There are 5 permanent pleats per panel. There are 2 pairs of curtains but the price reflects 1 pair (2 panels). The dimensions of each panel are as follows:  Pleated Top Across  25.5""  Bottom  Across: 47"" Length 62""  Tag says: Made in the USA and Machine Washable. There is detection that the bottoms have been hand hemmed instead of machine hemmed.        ",48.00,4.8108,"Vintage item from the 1960s
Materials:  Cotton, nylon
Only ships within  United States .
Feedback:  161 reviews
Favorited by:  64 people",Home & Living Curtains & Window Treatments Curtains vintage bedroom,161.0,64.0,https://www.etsy.com/listing/199320264/vintage-pinch-pleat-drapesvintage,"https://img1.etsystatic.com/033/0/8068311/il_fullxfull.638160097_nt3o.jpg,https://img0.etsystatic.com/036/0/8068311/il_fullxfull.638048462_njeo.jpg,https://img1.etsystatic.com/034/0/8068311/il_fullxfull.638160819_4tsw.jpg,https://img0.etsystatic.com/026/0/8068311/il_fullxfull.638047482_1gu8.jpg,https://img1.etsystatic.com/025/0/8068311/il_fullxfull.638161001_pehs.jpg",,,30
1781,Vintage Pastel Stripes  Navajo Pillow,"
            *Pillow measures approx 12"" wide and 18,5"" long with fringes
*Fine vintage condition
*Pretty compact and heavy
*Has no zipper but could still be dry cleaned if you wanted to
*For an accurate shipping quote, please contact me with your zip code
*Visit my shop 
http://www.etsy.com/shop/Vintagekindofgirl
 for more vintage items
*Other pillow is for sale separately in my shop 
http://www.etsy.com/shop/EclecticVintageGirl
        ",45.00,4.9836,"Vintage item
Only ships within  United States .
Feedback:  191 reviews
Favorited by:  64 people",Home & Living Home Décor Decorative Pillows Vintage pillow,191.0,64.0,https://www.etsy.com/listing/201154666/vintage-pastel-stripes-navajo-pillow,"https://img0.etsystatic.com/025/0/7574526/il_fullxfull.644817480_ofuo.jpg,https://img1.etsystatic.com/027/0/7574526/il_fullxfull.644927445_h2dx.jpg,https://img1.etsystatic.com/043/0/7574526/il_fullxfull.633566157_49m2.jpg",,,30
2059,Large Floor Vase Studio Pottery Signed Bill Shillalies Ceramic Artist Dark Blue & Brown Camel Color Hand Thrown Wheel Thrown Pottery HUGE,"
            Huge floor vase, signed by ceramic artist, Bill Shillalies. Blue and brown tone colors, bulbous shaped, quite large, and very heavy!
It's an older piece of his beautiful hand thrown studio pottery, made on a potter's wheel. 
The color at the top begins a lightly speckled blue, which then slowly graduates into a midnight (dark) blue, before merging softly into a copper color brown (a.k.a. 'camel' brown or rust color). 
The bottom is inscribed ""Bill Shillalies"" (with a cross above it). 
It is finished with a light clear coat on the exterior.
Dimensions: 14.5"" inches high x approx. 13"" diameter. 
The top hole opening measures 3-1/8"" inches diameter, while the base diameter is 3.25"".
This has been in our home for the past 9 years, but our style of decor has changed. It is a beautiful piece of pottery for that one show piece or focal point you've been looking for (it looks great on a high ledge, too!)
 
It is in mint condition with no chips, cracks, or hairlines. The exterior is nice and clean. I'm sure there's a little dust on the inside, otherwise it's extremely well-made, and excellent quality.
 
PLEASE NOTE: VASE WEIGHS OVER 13 LBS BEFORE packing. IT WILL BE PACKED VERY WELL, WITH CARE, AND DOUBLE-BOXED.
Shipping cost is due to the heavy weight and DIMENSIONAL size of package, so please take costs into consideration -- especially the further you live from PA. ESTIMATED PACKED WEIGHT IS 20 LBS. There will be at least 3"" inches of cushion added to all six sides as well, which will create a huge box!
 
INS. IS INCL.
* See the other pottery items in my shop (I will combine!)
https://www.etsy.com/shop/CollectionSelection/items?order=custom&search_query=pottery
** Please view all pictures by clicking on the small ones under the main pic, and use the 'Zoom in' feature.
*** Your order goes out within 1-3 business days, or sooner! 
My aim for both of us to be HAPPY. If, when you receive the item and are dissatisfied, please convo me within 48 hours. Under normal circumstances, I will either make it right, or you can return it to me at MY cost (IF not as I described) ~ otherwise at your cost, in the same condition it was sent in, within 7 days of convoing me.
Thanks for shopping at CollectionSelection!        ",72.98,4.9576,"Vintage item
Primary color: Blue
Secondary color: Copper
Material:  pottery
Only ships within  United States .
Feedback:  384 reviews
Favorited by:  64 people",Home & Living Home Décor Vases Large Floor Vase,384.0,64.0,https://www.etsy.com/listing/458011812/large-floor-vase-studio-pottery-signed,"https://img0.etsystatic.com/140/0/6290452/il_fullxfull.1023518558_s8id.jpg,https://img1.etsystatic.com/117/0/6290452/il_fullxfull.1070054993_rucx.jpg,https://img1.etsystatic.com/120/0/6290452/il_fullxfull.1070054999_4429.jpg,https://img1.etsystatic.com/114/0/6290452/il_fullxfull.1070054987_pfxo.jpg,https://img1.etsystatic.com/116/0/6290452/il_fullxfull.1070054991_h2yr.jpg",,,30
2087,Trio of Clear Glass Pot Belly Bud Vases - Wedding Decor - Oak Hill Vintage,"
            Trio of Clear Glass Pot Belly Bud Vases - Wedding Decor - Oak Hill Vintage
A sweet trio of sparkling clear glass bud vases in a little pot belly style. This set includes three matching vases that have a circle pattern and starburst on the bottom.
These little cuties measure about 5 1/2"" tall.  They are in excellent condition with no chips or cracks have been cleaned, bleached and are ready for use. They will be packed carefully for shipment.
Would be great for weddings, bridal or baby showers, anniversaries or special events.        ",17.50,4.9792,"Vintage item from the 1970s
Primary color: Clear
Occasion: Wedding
Material:  glass
Only ships within  United States .
Feedback:  1596 reviews
Favorited by:  95 people",Home & Living Home Décor Vases home decor,1596.0,95.0,https://www.etsy.com/listing/124941067/trio-of-clear-glass-pot-belly-bud-vases,"https://img1.etsystatic.com/016/0/5921003/il_fullxfull.432454415_gdc0.jpg,https://img0.etsystatic.com/010/0/5921003/il_fullxfull.432449874_1std.jpg,https://img0.etsystatic.com/009/0/5921003/il_fullxfull.432449760_q9fs.jpg,https://img1.etsystatic.com/009/0/5921003/il_fullxfull.432454545_cmi3.jpg,https://img1.etsystatic.com/014/0/5921003/il_fullxfull.432454635_85w9.jpg",,,30
