,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
118,"Vintage rocking horse, bouncing horse,hobby horse, spring horse,chair, riding toy, 1950-60s toy, painted horse,circus toy,bouncy toy","
            Great vintage toy, this rocking / bouncy horse is in great condition for its age, I'm sure many children have enjoyed and loved this over many years. The paint is good. This is a toy that's also a decor item.! 
Great size! 
Pic 2 shows a repair, tape. Seems to work fine.
Size: frame : 39"" X 24"" X 16"" tall
Horse: 28"" tall ( head to ground) l, 28"" long.
Please convo for shipping.        ",187.00,4.9524,"Vintage item from the 1960s
Materials:  metal, Plastic
Only ships within  United States .
Feedback:  505 reviews
Favorited by:  41 people",Toys & Games Toys Ride On & Rocking Toys Rocking & Spring Toys,505.0,41.0,https://www.etsy.com/listing/466673191/vintage-rocking-horse-bouncing,"https://img1.etsystatic.com/103/0/7697505/il_fullxfull.1056936565_rr67.jpg,https://img1.etsystatic.com/132/0/7697505/il_fullxfull.1056936543_4at3.jpg,https://img1.etsystatic.com/112/0/7697505/il_fullxfull.1056935863_8to9.jpg,https://img0.etsystatic.com/120/0/7697505/il_fullxfull.1010408118_fmb8.jpg,https://img0.etsystatic.com/108/0/7697505/il_fullxfull.1010408014_d2ff.jpg",,,241
147,"Grubby Friend of Teddy Ruxpin  Animated Toy, Animated Toys, World Of Wonder Toys, Vintage Toys,  :)","
            *~*This is GRUBBY  Teddy Ruxpins Good Friend. He could use a light cleaning over all not bad. He does not have the cord.  I have no way to test if he works or not but if not they can be repaired.. He measures about 18 inches long and  16 inches high.. Its from a smoke free home *~*IOF
**~* FREE LOCAL PICK UP IS ALWAYS WELCOME *~*
****************************** RUSH ORDERS ****************************************************************************************
((((((((*~* IF IN A RUSH FOR ITEM PLEASE EMAIL AND LET US KNOW .. WE REALLY TRY TO SHIP THE SAME DAY ..... OR NEXT ......BUT AT TIMES..........IT CAN BE 3 WORKING DAYS ESPECIALLY ON LARGER ITEMS . IF YOU EMAIL US AND LET US KNOW YOU NEED IT IN A RUSH WE WILL GET IT OUT THE NEXT DAY IF POSSIBLE GENERALLY IS . Unless we need to buy a large box or foam to put around it. *~* )))))))))))))))))
*~*~* WE LOVE TO COMBINE SHIPPING ON MULTIPLE ITEMS ...
EMAIL US FOR THE BEST POSSIBLE SHIPPING RATE USING YOU ZIP CODE.. ..
. *~*~* We can check by zip code and may do better then whats on listing *~*
WILL SHIP OUT OF THE USA IF COST IS NOT SHOWING EMAIL US AND WE WILL GET A COST FOR YOU IF INTERESTED
(((((((PLEASE READ LISTING CAREFULLY )))))))))
PLEASE READ LISTING CAREFULLY and Ask all Questions before buying as our Items..( I AM adding this to listings as I am finding people are Not Reading the Descriptions Of items Its for Your Own Protection ) Being Vintages and Loved by others in the past There is no Returns..Or Cancellations .. We more then happy to send multiple pictures so feel free to request additional Pictures and Information.. Just want you as the Customer to be Sure of the Item you are Placing the Order For and we are more then Happy to do so..
IF SHIPPING IS NOT POSTED FOR YOUR PART OF THE WORLD .. Just email us and we will get a cost for shipping for your country :).....WE SHIP WORLDWIDE.... WE CAN ALSO CHECK THE SHIPPING COST FOR YOUR COUNTRY if it can be shipped cheaper then posted Just email us that you want us to check and we will *~*
FOR COMBINED SHIPPING FEEL FREE TO EMAIL WHAT ITEMS YOU WANT COMBINED AND WE CAN CHECK WITH POST OFFICE ON COST FOR YOUR ZIP CODE.
**On Shipping Our Costs Covers Insurance on Breakables shipped in The USA..Boxes some of the time, Bubble wrap on breakable items... Might seem High But its to make sure you get your items Safely to you.. . If you have any more questions or need more information fell free to email us as we love to be here to serve you Or check our policy page. THANKS SO MUCH FOR SHOPPING WITH US AND HAVE AN AWESOME DAY. *~*backroom above the barbie doll house *~*        ",48.00,4.9191,"Vintage item from the 1980s
Material:  vintage
Only ships within  United States .
Feedback:  1055 reviews
Favorited by:  702 people",Toys & Games Toys Stuffed Animals & Plushies grubby,1055.0,702.0,https://www.etsy.com/listing/117374599/grubby-friend-of-teddy-ruxpin-animated,"https://img0.etsystatic.com/007/0/6692852/il_fullxfull.404512826_oo55.jpg,https://img1.etsystatic.com/008/0/6692852/il_fullxfull.404510639_k0nm.jpg,https://img0.etsystatic.com/002/0/6692852/il_fullxfull.404512990_7ybh.jpg,https://img1.etsystatic.com/005/0/6692852/il_fullxfull.404511245_ergp.jpg,https://img0.etsystatic.com/007/0/6692852/il_fullxfull.404513576_4e60.jpg",,,241
339,"Custom Handwriting Money Clip, Fathe'rs Day Gift, Personalized Gift for Him, Custom Handwriting Gift for Husband","
            A stainless steel money clip is engraved with the writing of your choice from a paper you provide.  The money clip measures 2 inch x 1 inch.
See the whole section of handwriting jewelry and gifts here:
https://www.etsy.com/shop/georgiedesigns?section_id=19578760
After purchasing the listing, please send a photo of your writing as an attachment (in .jpg format from your phone is fine!) via an Etsy convo or via email to georgie @ georgiedesigns.com with your name, username or order number.
Please note the following:
*We may need to adjust the layout slightly for it to fit.
*If it's very large with many parts, please tell us which part you want.
*The more text there is, the smaller it will be. Please keep that in mind when choosing what you want engraved.
*Very old paper with hard to read writing, or many wrinkles, may take much longer and there would be a an extra fee for that. We will contact you before proceeding once we see your image if that's the case.
Will arrive gift wrapped in the box and ribbon shown.
Let me know if you have any questions!        ",48.00,4.9198,"Handmade item
Primary color: Silver
Holiday: Father's Day
Occasion: Anniversary
Material:  stainless steel
Made to order
Ships worldwide from  United States
Feedback:  4103 reviews
Favorited by:  523 people",Bags & Purses Wallets & Money Clips Money Clips stainless steel,4103.0,523.0,https://www.etsy.com/listing/455436042/custom-handwriting-money-clip-fathers,"https://img1.etsystatic.com/127/0/5152054/il_fullxfull.1063034133_vz59.jpg,https://img0.etsystatic.com/125/0/5152054/il_fullxfull.1016503968_h3wh.jpg,https://img1.etsystatic.com/067/0/5152054/il_fullxfull.771656701_jmhg.jpg",,,241
465,"Moana Dress, Moana Birthday, Moana Party, Moana Costume","
            This is for one custom made Moana inspired costume.  The set includes the layered skirt, trimmed in lace with the sash to tie at the waist too.  Also included is the layered ruffled top with trim, as well as the hair flower on a clip.  You may specify the skirt and top length if you prefer.
 You will love the attention to detail and the care that goes into each garment.  All seams are professionally finished.
Custom orders always welcome, just inquire.  All items are handmade by me in my home sewing studio.  Please allow two weeks for production.  If you have an immediate need, please ask.  I am happy to work with you!
I can create all the matching accessories to go with any outfit, hair bows, bow bands, ruffle or beaded socks, various hats including facinator hats, necklaces, bracelets, party hats, bibs, burpies, you name it!  Please just inquire. 
Fabric and ribbons may change slightly based on availability.        ",48.00,4.7483,"Handmade item
Made to order
Ships worldwide from  United States
Feedback:  555 reviews
Favorited by:  240 people",Clothing Girls' Clothing Costumes Moana costume,555.0,240.0,https://www.etsy.com/listing/504915726/moana-dress-moana-birthday-moana-party,"https://img0.etsystatic.com/166/1/9133659/il_fullxfull.1162139170_6yhn.jpg,https://img1.etsystatic.com/173/0/9133659/il_fullxfull.1209363585_4r24.jpg,https://img1.etsystatic.com/164/0/9133659/il_fullxfull.1209363647_hqe7.jpg,https://img1.etsystatic.com/164/0/9133659/il_fullxfull.1192571487_6e33.jpg",,,241
1765,"Sheepskin Pillow Cover, Panda Bear Design Pillow Cover, Brown and Creme Colored Cushion Cover, Home Decor, laslovelies","
            This is an intricately sewn pillow cover with a panda bear eating bamboo design.  Each piece is sewn in separately.  I tried to get a photo of the inside.  Most all of this pillow cover is hand stitched including the back to the front side.  The zipper and seam were by machine.  The zippered back has a 5.5"" opening to be able to put in your own batting or pillow form.
I'm not sure what kind of material the back is - possibly some kind of heavier type cotton/rayon mix.  It's not silk.
It doesn't have a musty odor or offense smell (like from cigarette smoke)
This cover can also be used as a chair seat cushion or placed on the back of a chair or sofa or even as a miniature rug.
* I ship to other countries so if you are interested in this item let me figure the shipping costs for you.
For this item or other vintage choices please stop by my shop at: 
www.etsy.com/shop/LasLovelies
Also visit my Pinterest board at: www.pinterest.com/laluvsbrent
Twitter me at: twitter.com/LasLovelies
Keep: keep.com/u/leila_blakely
Sect: Other Home Decor        ",48.00,4.9245,"Vintage item from the 1970s
Diameter: 17 inches
Material:  Hand Sewn Sheepskin Pillow Cover
Ships from  United States  to  select countries .
Feedback:  262 reviews
Favorited by:  305 people",Home & Living Home Décor Decorative Pillows sheepskin pillow,262.0,305.0,https://www.etsy.com/listing/232853323/sheepskin-pillow-cover-panda-bear-design,"https://img0.etsystatic.com/059/0/9530144/il_fullxfull.769781740_9v6r.jpg,https://img1.etsystatic.com/054/0/9530144/il_fullxfull.769822403_r1xq.jpg,https://img1.etsystatic.com/061/0/9530144/il_fullxfull.769822321_kwo4.jpg,https://img0.etsystatic.com/062/0/9530144/il_fullxfull.769781906_ftnl.jpg,https://img1.etsystatic.com/056/0/9530144/il_fullxfull.769822311_1nzn.jpg",,,241
1990,Vintage Floats Set of 5 Fishing Floats Glass Floats Japanese Beach Decor Nautical Coastal Decor,"
            Vintage floats with nets add a fun coastal or nautical accent.  The set of 5 glass fishing floats were once used by Japanese fishermen on their squid nets.  The fishing floats measure about 2 to 2 1/2"" in diameter (larger than a golf ball, smaller than a tennis ball).  Each float has a ""button"" or pontil of melted glass at the bottom.  Glass fishing floats are a fun decorative accent in your coastal beach house or lake house decor.
This listing is for one set of 5 authentic vintage glass fishing floats and I have 4 sets.  Please specify quantity of sets at check out.
The vintage floats are pretty sea glass greenish- bluish shades and all floats have assorted nets.  We will select an assortment for you, or  please state any preferences at checkout in the notes section.
Condition:  The glass is in vintage condition with some patina, bubbles and salt residue. The netting is mostly intact, with wear from bobbing in the ocean.  Some are marked Japan or with Japanese characters.
For larger glass floats, please click here:
https://www.etsy.com/listing/237198548/vintage-glass-fishing-float-large-4?ref=shop_home_active_12
Keep browsing my shop here: 
http://www.onefairfaxroad.etsy.com
.
I refund shipping overcharges if more than 2 and am happy to combine shipping on several items.        ",48.00,4.9726,"Vintage item from the 1960s
Primary color: Blue
Secondary color: Green
Materials:  glass orb, fishing float, net, Japanese glass floats, set of 5 floats
Ships from  United States  to  select countries .
Feedback:  399 reviews
Favorited by:  398 people",Home & Living Home Décor Ornaments & Accents coastal decor,399.0,398.0,https://www.etsy.com/listing/243801640/vintage-floats-set-of-5-fishing-floats,"https://img1.etsystatic.com/039/0/6372826/il_fullxfull.645955229_qm8h.jpg,https://img1.etsystatic.com/068/0/6372826/il_fullxfull.787524095_2ne3.jpg,https://img1.etsystatic.com/061/0/6372826/il_fullxfull.787524609_e8a3.jpg,https://img0.etsystatic.com/062/1/6372826/il_fullxfull.787814626_7hff.jpg,https://img0.etsystatic.com/038/0/6372826/il_fullxfull.645842906_iuc7.jpg",,,241
2083,"Vintage Fenton Hobnail Milk Glass Vase, Medium Size - White American Glass Vase 6 Inches - Wedding Decor ","
            This classic hobnail milk glass vase was made by Fenton throughout the 1950s and '60s.  This size is great for medium-sized flower arrangements, and especially good for wedding centerpieces or your dining table.  Double crimped rim.  
Measures just under 6 inches high, about 5 inches across diameter of mouth.  Unmarked. 
Overall condition is very good, with no chips, cracks or repairs.  Minor variations in the color and molding of the glass.  
I often have multiples of this vase--the molding of the rim may vary slightly, but the condition will be good for all.  You can select the quantity you would like at the top right of this page.  If you would like additional images, please let me know. 
This listing is for *one* vase--the medium size in the last image.  The smaller and larger vases are shown for scale.  For other milk glass in my shop, click here:
http://www.etsy.com/shop/BarkingSandsVintage?section_id=7329999
Back to my shop:
http://www.etsy.com/shop/BarkingSandsVintage
        ",48.00,4.9608,"Vintage item from the 1960s
Primary color: White
Ships from  United States  to  select countries .
Feedback:  930 reviews
Favorited by:  2291 people",Home & Living Home Décor Vases centerpiece,930.0,2291.0,https://www.etsy.com/listing/71319302/vintage-fenton-hobnail-milk-glass-vase,"https://img0.etsystatic.com/101/2/5829694/il_fullxfull.845412420_9rv0.jpg,https://img1.etsystatic.com/105/0/5829694/il_fullxfull.1064042169_kd99.jpg,https://img0.etsystatic.com/130/0/5829694/il_fullxfull.1017510218_2b3o.jpg,https://img1.etsystatic.com/130/0/5829694/il_fullxfull.989479979_7nz0.jpg,https://img1.etsystatic.com/009/0/5829694/il_fullxfull.409399985_78ss.jpg",,,241
2527,Vintage Sequin Skirt Midnight Blue Maxi 1980s Maxi Skirt Sequin Maxi Skirt Sparkly Party Skirt Sequin Party Skirt Dark Blue Sequins medium,"
            Vintage sequin maxi skirt in a beautiful shimmering midnight blue features acrylic knit open work base for sequins with see through plum lining, high waistband, side zipper and high side slit.
Vintage NOS ( new old stock ) in as new condition with tags still on, a gorgeous skirt for the holidays.
fits like: Medium
                                                                                   
waist:  29""                                                                                    
hip: 40"" ( lining )                                                                                      
length: 42""                                                                                 
cm measurements:
waist: 74 cm
hip: 102 cm ( lining )
length: 107 cm
condition: new old stock
label / maker: Partique, New York
material: acrylic knit, sequins, acetate lining
All measurements are in inches and centimeters, taken flat, doubled
Mannequin measurements for reference: bust: 34.5”, waist: 25”, hip: 36”
Clipped on mannequin to show actual fit ?  yes
*More skirts @ StarletVintage: 
https://www.etsy.com/shop/starletvintage?section_id=19271609
        ",48.00,4.9935,"Vintage item from the 1980s
Primary color: Blue
Secondary color: Silver
Size: M US Women's
Materials:  vintage sequins, midnight blue sequins, sapphire blue sequins, acrylic knit, high slit, zipper, vintage dark blue sequins, 1980s vintage sequins, 80s vintage sequin
Ships worldwide from  Canada
Feedback:  1359 reviews
Favorited by:  129 people",Clothing Women's Clothing Skirts Vintage Sequin Skirt,1359.0,129.0,https://www.etsy.com/listing/473127488/vintage-sequin-skirt-midnight-blue-maxi,"https://img0.etsystatic.com/168/0/5427476/il_fullxfull.1171172454_1tf2.jpg,https://img1.etsystatic.com/170/0/5427476/il_fullxfull.1218389899_62dm.jpg,https://img0.etsystatic.com/156/0/5427476/il_fullxfull.1171170990_95so.jpg,https://img0.etsystatic.com/179/0/5427476/il_fullxfull.1171172156_53he.jpg,https://img1.etsystatic.com/169/0/5427476/il_fullxfull.1218392057_dz6d.jpg",,,241
2584,Deadstock Vintage Hawaiian Halter Top / Fashions by Myra Hawaiian Halter Top / Vintage Hawiian Top / Vintage Halter Top/Crop Top/Size M /  L,"
            Vintage Fashions by Myra Hawaii cotton halter crop top. Super cute and unique design with little flutter capelet. Halter tie can be tied in front or back. 100% cotton. 
Fits like: Medium; labeled large
Condition: Excellent; has original tag 
Label: Fashions by Myra
Measurements ------- ✂
Very hard to measure this garment. It is labeled ""large"" but it's probably a modern medium. 
Across chest on one side: 9""
❂ For more lovely tops and sweaters ❂
https://www.etsy.com/shop/TheWildsVintageShop?section_id=7189298&ref=shopsection_leftnav_3
✦ Follow us for sneak previews and updates ✦
Instagram: thewildsvintage        ",48.00,4.7742,"Vintage item from the 1970s
Ships worldwide from  United States
Feedback:  180 reviews
Favorited by:  361 people",Clothing Women's Clothing Tops & Tees Halter Tops,180.0,361.0,https://www.etsy.com/listing/291031023/deadstock-vintage-hawaiian-halter-top,"https://img0.etsystatic.com/138/0/5949405/il_fullxfull.963045914_pc1h.jpg,https://img0.etsystatic.com/139/0/5949405/il_fullxfull.963045916_2vt6.jpg,https://img0.etsystatic.com/118/0/5949405/il_fullxfull.963045874_bv3w.jpg,https://img1.etsystatic.com/109/0/5949405/il_fullxfull.1009586017_rjil.jpg,https://img1.etsystatic.com/128/0/5949405/il_fullxfull.1009586055_nhgi.jpg",,,241
3827,Camel Jacket 90s Tyvek Jacket New Old Stock Camel Cigarettes // Vintage 1990s Cigarette Coat Windbreaker Grunge Yellow -  Extra Large xl,"
            Vintage 90s Camel cigarette collectible windbreaker jacket made of thin tyvek plastic.
Measurements and Item Details:
Fits like: Labeled XL, but fits a little short
Fabric: Tyvek
Condition: New, in original packaging. May have some crease marks or fading from age. The photos in this listing are example photos of another jacket that we took out of the packaging.
Length: 27”
Bust: 54”
Waist: 42”to 48”
Shoulders (seam to seam): 25.5”
Sleeve: 24”
Shown on a 5’9” model with measurements of 33”-23”-35”        ",48.00,4.9551,"Vintage item
Primary color: Yellow
Material:  tyvek
Ships worldwide from  United States
Feedback:  89 reviews
Favorited by:  351 people",Clothing Unisex Adult Clothing Jackets & Coats camel cigarettes,89.0,351.0,https://www.etsy.com/listing/500595581/camel-jacket-90s-tyvek-jacket-new-old,"https://img0.etsystatic.com/148/1/14205793/il_fullxfull.1108948814_1ukv.jpg,https://img1.etsystatic.com/175/0/14205793/il_fullxfull.1155553429_ar8u.jpg,https://img0.etsystatic.com/150/0/14205793/il_fullxfull.1108948818_n3vr.jpg,https://img1.etsystatic.com/176/0/14205793/il_fullxfull.1155553431_ijul.jpg,https://img1.etsystatic.com/177/0/14205793/il_fullxfull.1155553433_jf80.jpg",,,241
