,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
238,"personalized luggage tag, custom luggage tag, luggage tags personalized, engraved luggage tag, personalized custom engraved travel bag tag","
            This listing is for a set of 2 custom engraved luggage tags, personalized just for you, in the design as shown.
This set includes 2 engraved luggage tags with Personalized Address & Phone # information engraved on the back. You may choose from any of our 11 different colors. Mix & Match you may choose to have all the same color or choose a different color for each tag.
Luggage Tags are the perfect gift for a new couple, a wedding shower, or wedding gift, birthday or anniversary. Celebrate any occasion with this fun personalized gift! 
Item Description:
~Dimensions: (Approx.)
Thickness:  .060 inch(1.53mm) 
Length: 3.875 inches (9.85cm)
Width: 2.00 inches (5.08cm)
Slot measures: 1/8"" x 5/8"" (3.2mm x 16mm)
 
~Material: Heavy gauge Anodized Aluminum 
*No bare edges or Aluminum exposed edges*
Each tag comes complete with a Heavy Duty Plastic strap.
We use a laser engraver to engrave the surface of this item. Laser engraving removes a very thin layer of the anodized metal, turning it white. You can feel it a tiny bit with your finger but it is not deep, allowing for much more writing and double sided engraving. Laser engraving produces white lettering that will not fade or rub off.
► STEPS TO CUSTOMIZE & ORDER ◄
✓ Add item to your cart.
✓ Below Item(s) you will see a ""Note to Riverside Bridal"" section.
✓ Please leave the following in the Notes section:
     • Name / Address / Contact info (if any) for the back of the tags.
     • Name for the front of the tags.
✓ Checkout        ",14.95,4.9257,"Handmade item
Primary color: Green
Holiday: Father's Day
Occasion: Birthday
Materials:  anodized aluminum, laser engraved
Made to order
Ships worldwide from  United States
Feedback:  1539 reviews
Favorited by:  377 people",Bags & Purses Luggage & Travel Luggage Tags Luggage Tag,1539.0,377.0,https://www.etsy.com/listing/268700994/personalized-luggage-tag-custom-luggage,"https://img0.etsystatic.com/101/1/9802991/il_fullxfull.924237120_8bbp.jpg,https://img1.etsystatic.com/111/1/9802991/il_fullxfull.923981861_s083.jpg,https://img1.etsystatic.com/112/0/9802991/il_fullxfull.919992023_8fjw.jpg,https://img0.etsystatic.com/139/0/9802991/il_fullxfull.924237276_bn5m.jpg,https://img1.etsystatic.com/140/0/9802991/il_fullxfull.920338159_o258.jpg",,,179
815,CERCHI GRANDI Orecchini Argento Ottone Argentone Rame Battuto Lovely Hand Made Italy S/Nichel Orecchini Cerchi Luminosi Stile Boho Birthday,"
            Per ogni occasione, sempre attuali, e alla moda.
Modello antico come il mondo!
Forgiati a mano fin dall'antichità, dagli Etruschi, dai Romani,
e da me dal 1975. E in molte altre parti del mondo.
Eleganti, luminosi, esaltano la bellezza e la luce delle donne.
ORECCHINI FORGIATI ACCURATAMENTE A MANO
Bellissimi, con perno d'argento 925.
Lovely Earrings ! ;-)
Realizzo questi stupendi orecchini con 2 pezzi di filo metallico
di ca. 18 cm. cadauno, il cui spessore è di 2,5 .
Diametro degli orecchini : ca. 70 mm
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
Mareliali usati:
ARGENTO, RAME, OTTONE E ARGENTONE
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
Nichel free, anallergici, fatti interamente a mano..!! 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
Il filo viene piegato e forgiato, battuto, limato, levigato, spazzolato
e lucidato a fondo.
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
Tutto il filo è battuto, per conferire all'oggetto una maggiore robustezza,
oltre che per evidenziarne l'aspetto artigianale.
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
per ricevere gli orecchini personalizzati:
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
*** SCEGLI IL METALLO che preferisci
dal menù a tendina                       ""MATERIALE""
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.- Grazie !!
Tutti i prodotti acquistati nel negozio ARTCHADELgioielli,
vengono accuratamente confezionati in un elegante astuccio,
a sua volta inserito in un sacchetto di tessuto.
Sono poi adeguatamente imballati, e spediti in un involucro
resistente agli urti accidentali.
Per qualsiasi chiarimento, non esitare a contattarmi:
artchadelgioielli [!at] libero.it 
Dai un'occhiata alle ""condizioni di vendita"":
https://www.etsy.com/it/shop/ARTCHADELgioielli#policies
Si possono realizzare gioielli su tuo disegno, scrivimi la tua idea !
Sono gradite ordinazioni personalizzate.
Ciao e grazie! Roberto.        ",31.09,5.0,"Vintage handmade item from the 1970s
Materials:  FILO DI ARGENTO, FILO DI RAME, FILO DI OTTONE, FILO ARGENTO TEDESCO, STERLING SILVER WIRE, COPPER WIRE, BRASS WIRE, ARGENTO TEDESCO WIRE, METALLO BATTUTO, SCATOLINA IN OMAGGIO, PRONTI DA REGALARE, CONFEZIONE OMAGGIO, GIFT FOR HER
Ships worldwide from  Italy
Feedback:  35 reviews
Favorited by:  31 people",Jewelry Earrings ORECCHINI ANNI '70 EARRINGS ARTIGIANALI,35.0,31.0,https://www.etsy.com/listing/271043559/cerchi-grandi-orecchini-argento-ottone,"https://img0.etsystatic.com/137/0/9175136/il_fullxfull.934926872_5puo.jpg,https://img0.etsystatic.com/113/0/9175136/il_fullxfull.934926744_i0xg.jpg,https://img0.etsystatic.com/106/1/9175136/il_fullxfull.934925130_rcup.jpg,https://img0.etsystatic.com/110/0/9175136/il_fullxfull.934927058_chg2.jpg,https://img1.etsystatic.com/131/0/9175136/il_fullxfull.934676621_5lx3.jpg",,,179
860,Vintage costume jewellery brooch and clip on earring set. Vintage costume jewellery brooch. Vintage costume jewellery clipon earrings,"
            An eye catching and unusual vintage costume jewellrey set comprising of a brooch and clip on earrings. Probably dating from the 1950s
Silver tone metal brooch with 3 flying birds; studded with diamante glass chips and black glass chips for eyes and fastens with a secure roll clasp.  A single bird make up the matching earrings again with a secure fitting back clip.
In excellent vintage used condition commensurate with age and wear.
Dimensions:
Brooch.
Length 6.7cm. widith 2.5cm. 
Earrings
Length 3cm. width2cm.
This stunning set would add vintage glamour to any party outfit and would make a super gift for any vintage costume jewellery enthusiast.
Dispatched 1 - 3 Business days
**EU &US buyers please read my shipping policies before purchasing. I use Royal Mail International tracked and signed.**
Thank you for browsing. Why not take a peek at my shop to discover other vintage finds!        ",29.90,5.0,"Vintage item from the 1950s
Holiday: Christmas
Occasion: Birthday
Materials:  Metal, glass
Ships from  United Kingdom  to  select countries .
Feedback:  36 reviews
Favorited by:  31 people",Jewelry Jewelry Sets costume jewellery vintage,36.0,31.0,https://www.etsy.com/listing/482634302/vintage-costume-jewellery-brooch-and,"https://img0.etsystatic.com/174/0/11226660/il_fullxfull.1097148866_c4z5.jpg,https://img0.etsystatic.com/179/0/11226660/il_fullxfull.1097149436_3gaq.jpg,https://img0.etsystatic.com/163/0/11226660/il_fullxfull.1097150284_mn4k.jpg,https://img0.etsystatic.com/149/0/11226660/il_fullxfull.1097150816_5yq1.jpg",,,179
1048,Vintage Clip Earrings - Clip Ons - Solid Brass Earclips - Retro 1990's Jewelry ,"
            Very cool vintage clip earrings, made in the 1990's.
These earrings are still in good vintage condition, with some signs of use.
Length app. 40 mm
Width app. 30 mm
Made of solid brass, real eye catchers!        ",16.66,5.0,"Vintage item
Ships worldwide from  The Netherlands
Feedback:  107 reviews
Favorited by:  31 people",Jewelry Earrings Clip On Earrings earrings,107.0,31.0,https://www.etsy.com/listing/486929017/vintage-clip-earrings-clip-ons-solid,"https://img0.etsystatic.com/147/1/8500463/il_fullxfull.1067377732_is4r.jpg,https://img1.etsystatic.com/169/1/8500463/il_fullxfull.1113961057_krm8.jpg",,,179
1260,Vintage Springbok Puzzle 1500 Jigsaw Puzzle Oriental Harmony Factory Sealed PZL9006 1989 Deserdog Destash,"
            Hi. Thank you for visiting our shop. Here is one of the treasures my wife and I found on our daily treaasure hunts.
Up for your consideration is a factory sealed vintage  1500 piece Springbok puzzle from 1989:
Oriental Harmony
The completed puzzle will measure about 28 3/4"""" by 36"".
The box measures about 14"" by 14"" by 2 1/8""
Condition: This is a new sealed puzzle. The plastic has a few scratches. The box is in very good condition, not crushed or smashed. A couple of the corners have a small amount of wear. Please see pictures. 
Shipping: Economy and priority shipping are available in the USA. Shipping is calculated priority international to other countries.  This is a large puzzle and ships at 5 lbs. 
Puzzles are always shipped in sturdy boxes  for safe delivery as they go through the sorting machines of USPS. Puzzles are never wrapped in paper.
I have some other new puzzles  on now and will combine shipping to save you money.        ",18.00,5.0,"Vintage item from the 1980s
Primary color: Green
Ships worldwide from  United States
Feedback:  147 reviews
Favorited by:  31 people",Toys & Games Games & Puzzles Puzzles Jigsaw Puzzles,147.0,31.0,https://www.etsy.com/listing/262203484/vintage-springbok-puzzle-1500-jigsaw,"https://img1.etsystatic.com/139/0/8059693/il_fullxfull.895685277_dd33.jpg,https://img0.etsystatic.com/134/0/8059693/il_fullxfull.895926386_lxet.jpg,https://img1.etsystatic.com/135/0/8059693/il_fullxfull.895685269_o3tq.jpg,https://img0.etsystatic.com/138/0/8059693/il_fullxfull.895926394_78za.jpg,https://img0.etsystatic.com/102/0/8059693/il_fullxfull.895926402_qmuj.jpg",,,179
1867,CHARMING YUKON Canada Map of Yukon Print WHIMSICAL Pictorial Map Gallery Wall Art  50s Picture Map Gift For Birthday Wedding 6524,"
            Neat vintage picture map of Yukon, Canada.
This fun pictorial map features sketches of gold panning, an Indian, buildings, people, animals, industry, and more.  
I think it would be fun to frame several of these maps and display them in a group.  A grouping might include your birthplace, places you have visited on vacation or a honeymoon.  These make fun gifts!
This whimsical vintage map measures approximately 6 by 9 inches.  You are purchasing the original 1954 map, not a reprint!  The map is in very good condition.  Please note there are binding holes along the left border which can easily be hidden if matted.
*******************************************************************************
MORE WHIMSICAL PICTORIAL MAPS:  
http://etsy.me/1qUgnJs
********************************************************************
SWEET DEALS!
Additional maps and prints ship for free within the US!
Purchase two items - save 15% with coupon code TWOITEMS15. 
Buy three or more items - save 20% with coupon code THREEORMORE20 
**********************************************************************
PRINT COLLECTIONS IN MY SHOP:
FISH ART PRINTS: 
http://etsy.me/1kfRF8s
FLY FISHING PRINTS: 
http://etsy.me/1wiFrxK
BUTTERFLY PRINTS - 
http://etsy.me/1qE0qq4
LOVELY ROSE PRINTS: 
http://etsy.me/1xUWCtH
MOTH PRINTS: 
http://etsy.me/1AiWO0O
SHRUB FLOWER PRINTS: 
http://etsy.me/1ggsPod
CACTUS AND SUCCULENT PRINTS: 
http://etsy.me/1GXnfNa
********************************************************************
Your print will be carefully packaged and shipped First Class.
Many of my customers purchase maps as wedding and anniversary gifts. One for the bride's birthplace, one for the grooms! Neat idea!
Other neat ideas: vintage maps are really pretty used as background for scrapbooking, in collage art, paper art and mixed media crafts, and for genealogy purposes.        ",14.95,4.952,"Vintage item from the 1950s
Primary color: Black
Secondary color: White
Materials:  Vintage Yukon Alaska Map, Measures approximately 6 by 9 inches, Black and White Gallery Wall Art, Map Gallery Wall
Ships worldwide from  United States
Feedback:  1497 reviews
Favorited by:  17 people",Home & Living Home Décor Globes & Maps vl team,1497.0,17.0,https://www.etsy.com/listing/259621558/charming-yukon-canada-map-of-yukon-print,https://img1.etsystatic.com/029/1/6758260/il_fullxfull.586171969_49dd.jpg,,,179
1894,Vintage Royal Albert Old County Roses Teacup and Saucer. 1960s. First edition.,"
            Beautiful Vintage Royal Albert Old Country Roses Teacup and saucer. First edition, first quality.
Designed by Harold Holdcroft, who worked at Royal Albert up to retiring in 1972.
Made in England in the 1960s with the original backstamp.
Lovely vibrant red, gold and pink roses with green leaves in the elegant and traditional Royal Albert Montrose shape with attractive scalloped edges finished in 22k gold.
They are in excellent vintage condition with no chips, cracks or crazing and the gilding is in good order. This listing is just for one teacup and saucer, but there are ten available.
They will be very well packaged in bubble wrap and posted within 3 working days of your payment being received.
Ref:TS011        ",23.88,4.9583,"Vintage item from the 1960s
Materials:  bone china, royal albert old country roses, royal albert old country roses teacup, vintage royal albert china, vintage royal albert teacup, 1960s vintage royal albert
Ships worldwide from  United Kingdom
Feedback:  241 reviews
Favorited by:  1734 people",Home & Living Kitchen & Dining Drink & Barware Drinkware,241.0,1734.0,https://www.etsy.com/listing/113234455/vintage-royal-albert-old-county-roses,"https://img1.etsystatic.com/010/0/7354015/il_fullxfull.449455091_rsva.jpg,https://img1.etsystatic.com/015/0/7354015/il_fullxfull.449455133_5zcw.jpg,https://img1.etsystatic.com/010/0/7354015/il_fullxfull.449455171_avxs.jpg,https://img1.etsystatic.com/012/0/7354015/il_fullxfull.449455607_32ca.jpg",,,179
1903,"HOLLY HOBBIE MUG, Vintage Holly Hobbie mug, Holly Hobbie mug for friend, friendship mug, gift for friend, cute Holly Hobbie cup,vintage gift","
            The listing is for one 1973 vintage Holly Hobbie mug. It is in excellent vintage condition but does have some wear on the rim. The image is in excellent condition. It measures 4.5"" tall and 3"" wide at the mouth.  
Item ships quickly. Thanks for looking!
(egls6sec4B)
See more items like this in my shop:
https://www.etsy.com/shop/TheJellyJar
See more housewares in this location:
https://www.etsy.com/shop/TheJellyJar?section_id=14427944&ref=shopsection_leftnav_8
        ",8.95,4.9537,"Vintage item from the 1970s
Material:  ceramic
Ships worldwide from  United States
Feedback:  711 reviews
Favorited by:  126 people",Home & Living Kitchen & Dining Drink & Barware Drinkware,711.0,126.0,https://www.etsy.com/listing/473119161/holly-hobbie-mug-vintage-holly-hobbie,"https://img1.etsystatic.com/111/0/8653491/il_fullxfull.1074331061_ehuf.jpg,https://img1.etsystatic.com/119/0/8653491/il_fullxfull.1074331077_5oiy.jpg,https://img1.etsystatic.com/121/0/8653491/il_fullxfull.1074331081_poji.jpg,https://img0.etsystatic.com/126/0/8653491/il_fullxfull.1027798370_c95a.jpg,https://img0.etsystatic.com/134/0/8653491/il_fullxfull.1027798386_oik1.jpg",,,179
1904,"Vintage Enamel Mugs, Vintage NEW Mint Green Mug, Camping Mug, Mint Green Decor, Valentine's Couples Gift, Birthday Gift, Mint To Be","
            LAST SETS! HURRY BEFORE THEY'RE GO...GONE !
I really love this SET OF TWO NEW, NEVER USED, VINTAGE mugs in very unique mint green with dark green rim. 
These mugs were part of a container of kitchenware left for decades in a warehouse and now it's your opportunity to enjoy them!
*** I offer in this listing One Mug or the Set of Two Mugs*** 
Please Select Quantity and Style 
If you purchase ONE mug let me know so I can adjust shipping charges 
Start your day with your partner and a coffee served in these wonderful mugs. 
A great gift for a friend, partner who loves vintage and even for your bridesmaids if you have a mint green theme wedding!
You can add a personalized decal to it and make it unique for that special occasion.
These mugs were never used. They are in new vintage conditions. Some of them might have minor manufacturing defects on the enamel and tiny enamel loss spots that do not interfere with its functionality. 
In their Original Carton Packaging.
♥♥♥These mugs will arrive beautifully boxed and gift wrapped in tissue paper ♥♥♥
Please send me a message if you need more quantities, I might have more quantities available
Dimensions:
D: 10cm
H: 9cm
*Another option of Mugs & Plates:
https://www.etsy.com/listing/476843283/set-of-two-vintage-enamel-mugs-and?ref=shop_home_active_5
Pair these mugs with the authentic vintage standing cup holder:
https://www.etsy.com/listing/461484418/vintage-wood-mug-holder-coffee-cup-tree?ref=shop_home_active_31
Shipping:
*PLEASE CONTACT ME FOR EXACT SHIPPING RATES* RATE IS FOR TWO MUGS*
International buyers are always welcome, but contact me first for exact shipping rates and shipping options.
Postage is from Spain. I send packages worldwide by Correos de España (government owned company). There is no insurance and in some cases tracking is available with this option.
Combined shipping is always available.
All items are carefully wrapped and packaged to avoid damage in transit.
The Spanish post has a 2 kg maximum weight for the international airmail packages. 
If your purchase exceeds 2 kg, rates go considerably higher. 
If you prefer insurance and tracking please send me a message and I will send you a recalculated invoice with the upgraded shipping fees. 
In some cases I do build in a small charge into the shipping costs for packaging and related administration. 
Please note that customs duties and taxes are the buyer's responsibility.
Please read my shipping policies before ordering. 
Returns:
*ITEM DESCRIBED AS HONESTLY & ACCURATELY AS POSSIBLE SO RETURNS NOT EXPECTED*
Please do not hesitate to contact me for additional images, international shipping rates, or with any questions and remember we can decorate your event and make it unique!*
I would love to hear from you!        ",11.10,4.9798,"Vintage item from the 1970s
Ships from  Spain  to  select countries .
Feedback:  99 reviews
Favorited by:  1407 people",Home & Living Kitchen & Dining Drink & Barware Drinkware,99.0,1407.0,https://www.etsy.com/listing/473919791/vintage-enamel-mugs-vintage-new-mint,"https://img1.etsystatic.com/111/0/12408783/il_fullxfull.1076524661_8eix.jpg,https://img0.etsystatic.com/104/0/12408783/il_fullxfull.1029985366_4yq7.jpg,https://img0.etsystatic.com/138/0/12408783/il_fullxfull.1029986474_3pqw.jpg,https://img0.etsystatic.com/123/0/12408783/il_fullxfull.1029986124_1jin.jpg",,,179
1971,"Vintage Costume Jewelry Christmas Tree Three Dimensional Painted Gold 15"" Tall","
            This fabulous Christmas tree is covered in vintage costume jewelry. There are also fabric flowers and various trinkets. You can look at this tree over and over and find something new. It is sitting on a vintage milk glass compote. There is a white styrofoam cone center. The pieces are held on with vintage bobby pins. When this tree was finished, it was spray painted with metallic gold. It is fabulous and quite stunning. This tree is 15-1/4"" tall x approximately 6-1/2"" wide x 6-1/2"" deep. It is quite heavy weighing in at 4 pounds. The pieces will shift when on it's side, but they can be readjusted when standing.
Many of the jewelry pieces where altered when making this tree. The glass base is not chipped.
HYC37-F        ",150.00,5.0,"Vintage item from the 1960s
Materials:  metal glass beads, plastic beads, chains, fabric flowers, plastic jewelry, metal jewelry, metal costume jewelry, glass compote base
Ships worldwide from  United States
Feedback:  22 reviews
Favorited by:  31 people",Home & Living Home Décor Ornaments & Accents Christmas Trees,22.0,31.0,https://www.etsy.com/listing/491598259/vintage-costume-jewelry-christmas-tree,"https://img0.etsystatic.com/180/2/13766101/il_fullxfull.1081449118_dlha.jpg,https://img1.etsystatic.com/154/0/13766101/il_fullxfull.1128042347_cs27.jpg,https://img0.etsystatic.com/160/0/13766101/il_fullxfull.1081449238_cpfr.jpg,https://img1.etsystatic.com/171/0/13766101/il_fullxfull.1128042541_i0t6.jpg,https://img1.etsystatic.com/164/0/13766101/il_fullxfull.1128042607_7p1e.jpg",,,179
