,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
143,English Teddy Bear. 1970 Merrythought Collectable Bear. Childrens Toys Heirloom Gift. She Wants This Teddy Bear Gift. Gift from Nanna,"
            Old Vintage English Teddy Bear in good condition. A 1970 Merrythought collectable bear. One of Britains major children's toy heirloom gift names to collect.
12 inch Light blonde plush Mohair with fully mobile limbs. He's very handsome and quite a delightful Bear. Very tactile and cuddly.
Old Vintage English Teddy Bear, 1970s Merrythought Bear 12 "" Collectable Teddy Bear, Merrythought Heirloom Soft Toy She wants this Christmas Gift for Her
Comes with his original Merrythought tag. He has been in our family since being bought and has been well looked after in a clean, smoke free and dog free home environment.
He has a colour contrasting ribbon necktie.
A beautiful Heirloom Gift.
He does have some small pin prick marks on his pads, but nothing to detract from the pleasure of owning him. He's still a lovely Bear with a genuine English heritage.
HISTORY OF MERRYTHOUGHT BEARS.
Merrythought bears came relatively late to the early bear scene in the UK, with the company being established in 1930. 
The traditional bear from this company came in ten different sizes in gold mohair and various coloured art silks. 
Merrythought teddy bears are still hand finished to this day and have always been considered very high quality British bears.
PACKING
We pack all items with great care and attention. We want you to receive a parcel in the same manner we would expect to receive one ourselves.
All information regarding postal delivery etc is on our Shipping Policies page.        ",95.00,5.0,"Vintage item from the 1970s
Holiday: Christmas
Material:  vintage old teddy bear
Ships from  United Kingdom  to  select countries .
Feedback:  28 reviews
Favorited by:  22 people",Toys & Games Toys Stuffed Animals & Plushies Bears,28.0,22.0,https://www.etsy.com/listing/202059437/english-teddy-bear-1970-merrythought,"https://img1.etsystatic.com/042/1/9608684/il_fullxfull.648350075_ke36.jpg,https://img0.etsystatic.com/036/0/9608684/il_fullxfull.648235982_vdbt.jpg,https://img0.etsystatic.com/039/0/9608684/il_fullxfull.648235988_r7o9.jpg,https://img1.etsystatic.com/034/0/9608684/il_fullxfull.648350099_ifva.jpg",,,97
162,Darling Stuffed Monkey,"
            This guy is sooooo cute......Monkey
Perfect condition,comes from a non smoking studio.  Very soft and darling.
I'm happy to answer questions.
I will gladly ship Internationally. Contact me for shipping rates prior to purchasing.
No markings but could be a Steiff.        ",95.00,5.0,"Vintage item from the 1940s
Primary color: Brown
Secondary color: Red
Only ships within  United States .
Feedback:  92 reviews
Favorited by:  75 people",Toys & Games Toys Stuffed Animals & Plushies toy,92.0,75.0,https://www.etsy.com/listing/224698171/darling-stuffed-monkey,"https://img1.etsystatic.com/056/0/6439898/il_fullxfull.735890743_gqcg.jpg,https://img0.etsystatic.com/048/0/6439898/il_fullxfull.735757702_8sf3.jpg,https://img0.etsystatic.com/055/0/6439898/il_fullxfull.735757844_5m0l.jpg,https://img1.etsystatic.com/057/0/6439898/il_fullxfull.735890585_c22n.jpg,https://img1.etsystatic.com/053/0/6439898/il_fullxfull.735890929_4lf8.jpg",,,97
823,Vintage Gucci Necklace,"
            VINTAGE GUCCI NECKLACE & SWAROVSKI PENDANT 18K
Made in Italy 
Code: 1564 FI 
Material: Steel Based, full 18k gold plated, swarovski gems
Condition: Brand New dead stock 
Circa: 1993S 
Necklace length: 55CM 
Pendant: 3.3CM width
 
*Very Rare item*        ",96.38,4.8511,"Vintage item
Primary color: Gold
Secondary color: Gold
Holiday: Christmas
Occasion: Birthday
Material:  18K gold plated
Ships worldwide from  Canada
Feedback:  47 reviews
Favorited by:  140 people",Jewelry Necklaces vintage gucci gucci necklace,47.0,140.0,https://www.etsy.com/listing/481566547/vintage-gucci-necklace,"https://img1.etsystatic.com/110/0/13783576/il_fullxfull.1097461219_7oua.jpg,https://img1.etsystatic.com/137/0/13783576/il_fullxfull.1097461193_tc1k.jpg,https://img1.etsystatic.com/116/0/13783576/il_fullxfull.1097461311_lf4k.jpg,https://img0.etsystatic.com/111/0/13783576/il_fullxfull.1050896020_773a.jpg",,,97
1040,Vintage Elsa Schiaparelli Earrings,"
            Really awesome vintage clip on earrings made by famed designer Elsa Schiaparelli. These are signed and have a patent number.        ",95.00,5.0,"Vintage item from the 1950s
Only ships within  United States .
Feedback:  14 reviews
Favorited by:  45 people",Jewelry Earrings Clip On Earrings vintage,14.0,45.0,https://www.etsy.com/listing/252506899/vintage-elsa-schiaparelli-earrings,"https://img0.etsystatic.com/135/0/8443748/il_fullxfull.853063188_fslh.jpg,https://img0.etsystatic.com/113/0/8443748/il_fullxfull.853063384_s7gv.jpg,https://img1.etsystatic.com/119/0/8443748/il_fullxfull.852833397_jgxb.jpg",,,97
1251,"SALE Antique amethyst ring - Victorian vintage amethyst lyre ring, stick pin ring conversion with light purple amethyst cabochon","
            This antique Victorian stick pin ring is a ring conversion from an original estate stick pin/hat pin. The pin was formed to create the new shank of the ring, so no gold was wasted! Talk about sustainable jewelry...
The center stone is a purple amethyst cabochon, and the gold tested and was marked as 14k prior to the conversion. This ring is a size 5.5 and is easily sizable by your local jeweler.
This little beauty will be hard to let go! It's lightweight and dainty, and the ring head design has almost a Middle Eastern flair to it, although someone mentioned it also looks like a lyre!
The ring head measures 12mm tall by 13.5mm wide, and the amethyst measures approx. 4x6mm.
Shipping:
This ring will ship in an Anueva Jewelry reusable gift box with a free polishing cloth. The package will be insured and require signature confirmation. Please be sure to use an address that will have someone available to sign during mail delivery times.
International buyers, please message me for shipping rates prior to purchasing.
Find more products like this on my main shop page: 
http://www.etsy.com/shop/AnuevaJewelry/
        ",229.00,5.0,"Vintage item from 1900 - 1909
Materials:  ring conversion, amethyst, 14k gold, Anueva Jewelry
Ships from  United States  to  select countries .
Feedback:  47 reviews
Favorited by:  951 people",Jewelry Rings Statement Rings amethyst,47.0,951.0,https://www.etsy.com/listing/288293305/sale-antique-amethyst-ring-victorian,"https://img0.etsystatic.com/127/0/9398429/il_fullxfull.951072852_3v2j.jpg,https://img1.etsystatic.com/130/1/9398429/il_fullxfull.998143339_m9y2.jpg,https://img1.etsystatic.com/121/0/9398429/il_fullxfull.997617961_by6o.jpg,https://img0.etsystatic.com/129/0/9398429/il_fullxfull.951072856_rs47.jpg,https://img0.etsystatic.com/104/0/9398429/il_fullxfull.951072886_71mx.jpg",,,97
1628,"Vintage kilim rug, turkish anatolian kilim, m size rug, tribal vintage rug, bohemian home","
            Gorgeous vintage turkish kilim rug. organic coloured hand knotted wool vintage rug
originated from Anatolia
Dates back to 1970th and is in very good vintage condition, can be used for decoration purposes, perfect for a boho home interior design and decor
The rug is its original vintage condition and measurements, original colors 
The pile of the rug is 100% wool and organic colored wool
Approximate measurement - 165 by 123 centimetres ( 64 by 48 inch )
Wool pile
Hand knotted and hand dyed wool
Vintage condition        ",250.00,4.9787,"Vintage item from the 1970s
Ships worldwide from  Sweden
Feedback:  47 reviews
Favorited by:  74 people",Home & Living Floor & Rugs Rugs small kilim rug,47.0,74.0,https://www.etsy.com/listing/482337104/vintage-kilim-rug-turkish-anatolian,"https://img1.etsystatic.com/150/0/12638579/il_fullxfull.1227353859_ax5h.jpg,https://img1.etsystatic.com/176/0/12638579/il_fullxfull.1227353911_kitp.jpg,https://img1.etsystatic.com/170/0/12638579/il_fullxfull.1227353979_6mot.jpg,https://img0.etsystatic.com/170/0/12638579/il_fullxfull.1180135978_kcse.jpg,https://img0.etsystatic.com/167/0/12638579/il_fullxfull.1180136052_dnei.jpg",,,97
1769,Vintage Double-Sided Moroccan Berber Pillow Cover Green,"
            Found in a souk in Casablanca, Morocco, this vintage double-sided pillow cover is hand-loomed by Berbers in the Atlas Mountains. 
Size: 19 1/2"" x 15"". This is handcrafted, measurements vary.
Color:  Tribal pattern.  Kelly green, mustard yellow, tan, cream and black.  Back is tan and cream.
Material: Wool.
Filler Instructions: There is a 5” opening alongside bottom edge for pillow insert or filler. Note: This listing does not include pillow insert or filler. Requires a simple hand-stitch to close.
Condition: Excellent vintage condition on front of pillow. Back is in good condition, no holes but there are several pink stains.
Style Tip:  Layer a sofa or bed with various pillows in different patterns and textures for a relaxed Bohemian look. This could also be used as a bench or chair cushion.
Origin: Morocco.
Important Note: Items are vintage and used meaning not new. Therefore, there may be slight signs of use, such as discoloration, loose threads, minor repairs or small irregularities, which adds unique character.
All items are shipped from a smoke-free home. Combined shipping discounts for multiple purchases.        ",57.00,4.9697,"Vintage item from the 1980s
Material:  Wool
Only ships within  United States .
Feedback:  47 reviews
Favorited by:  36 people",Home & Living Home Décor Decorative Pillows green pillow,47.0,36.0,https://www.etsy.com/listing/468520018/vintage-double-sided-moroccan-berber,"https://img1.etsystatic.com/116/2/9380375/il_fullxfull.1099278031_dhf5.jpg,https://img0.etsystatic.com/134/0/9380375/il_fullxfull.1052707266_39ib.jpg,https://img0.etsystatic.com/129/0/9380375/il_fullxfull.1052707336_e8li.jpg,https://img0.etsystatic.com/118/0/9380375/il_fullxfull.1052707394_q9et.jpg",,,97
3095,"IFOULKI"" VIntage Wedding BLanket, Moroccan Blanket.","
            ""Ifoulki"" In berber language mean ( Gorgeous) Authentic Berber  wedding blanket, ""Ifoulki"" is GOOD Size and  a  fluffy blanket in cream and off white tones. It has a stunning, original concept : fluffy bands on one side, and all the sequin decor on the  BANDS... ""Ifoulki"" is in excellent condition. 
✔This vintage wedding blanket is washed, dried on sun and slightly perfumed with natural fragrance, ready to use in your home.
✔* Size : 6'8""x 3'6"" feets (210cm x 110 cm)
✔* Color : Cream and off white
✔* Age : 30-35 years old
✔* Condition : Excellent. 
✔* Material : Wool, cotton, metal sequins
✔Story
Formerly part of a traditional Berber tradition, but now an eyecatcher in the bedroom of every interior and vintage lover!
The handira, or also known as a 'wedding blanket’, according to Berber tradition, was entirely handmade by the bride's relatives. Wire to wire the handira spun into a whole and the hundreds of sequins were put on one by one by hand.
All of this, so the bride's 'blanket' could be wrapped around her body on her wedding day, on her way to her husbands house. Because of the countless sequins the whole village heard the bride arrive to the village.
The handira was a symbol for fertility, happiness, and serves to protect against evil.
Today, a must-have that should not be missing in your home. A stylish vintage piece of Morocco.
Use it on your bed as a bedspread or on your couch for decoration, use it as a carpet or hang it on the wall. Either way it is a real eyecatcher in your interior!        ",211.00,5.0,"Vintage item from the 1980s
Ships worldwide from  Morocco
Feedback:  47 reviews
Favorited by:  51 people",Home & Living Bedding Blankets & Throws Weighted Blankets,47.0,51.0,https://www.etsy.com/listing/503848641/ifoulki-vintage-wedding-blanket-moroccan,"https://img1.etsystatic.com/162/0/11595695/il_fullxfull.1201974523_oxis.jpg,https://img0.etsystatic.com/143/0/11595695/il_fullxfull.1117757604_mzjz.jpg,https://img1.etsystatic.com/142/0/11595695/il_fullxfull.1164365923_i0lk.jpg,https://img1.etsystatic.com/163/0/11595695/il_fullxfull.1164365965_qlng.jpg,https://img0.etsystatic.com/172/0/11595695/il_fullxfull.1117757742_h6b2.jpg",,,97
3532,"Vintage Girl's Clothes, 1950's Saks Fifth Avenue Navy Blue Peacoat, Vintage Girls Coat, Winter Girls Coat, Girls Navy Peacoat, Size 10","
            ≈Description≈
This is a beautiful girl's navy blue wool hooded peacoat made by Saks Fifth Avenue from the 1950s. The coat has large, warm hood, beautiful brass buttons and three toggles in the front to fasten the coat closed. The long sleeves also have a single decorative brass button and toggle. The coat is lined with a very pretty red and green plaid soft wool. The sleeves have a knitted cuff on the inside to keep the cold air out. This coat is approximately a girl's size 10, however please see measurements below for correct fit.
≈Measurements (in inches with the garment lying on a flat surface)≈
Shoulders: 13
Chest: 34
Sleeves: 19.5
Length: 29
≈Additional Information≈
This coat is in very good condition and ready to be worn by your little girl. There are two small holes approximately 1/2 inch size each on the back edge of the left cuff (see photo 4). Also, there is a tag on the inside of the neckline which indicates: ""Saks Fifth Avenue, Made in England, 100% Wool"". 
See more beautiful and unique vintage treasures for your little one here:
https://www.etsy.com/shop/BabyTweeds
        ",95.00,5.0,"Vintage item from the 1950s
Materials:  wool, buttons
Ships worldwide from  United States
Feedback:  163 reviews
Favorited by:  60 people",Clothing Girls' Clothing Jackets & Coats girls clothes,163.0,60.0,https://www.etsy.com/listing/290485915/vintage-girls-clothes-1950s-saks-fifth,"https://img1.etsystatic.com/123/0/6252602/il_fullxfull.1014172205_40jd.jpg,https://img0.etsystatic.com/123/0/6252602/il_fullxfull.967631484_t0o6.jpg,https://img0.etsystatic.com/136/0/6252602/il_fullxfull.967631590_n7ps.jpg,https://img1.etsystatic.com/133/0/6252602/il_fullxfull.1014171585_ffh5.jpg,https://img1.etsystatic.com/115/0/6252602/il_fullxfull.1014170429_113c.jpg",,,97
3610,"60s/70s Army High Waist Pants / Vietnam Utility Pant / Green Fatigue pants / Army Pants (High Waist 28""-31"") See SIZE OPTIONS","
            **Please see Variants for Waist and Length.** These 60/70s cropped army high waist pants feature the following:
- 13"" rise
- 40"" hip depending on size
- Classic wide leg with slight taper on longer pairs
- Hidden button fly (some have zipper fly)
- Belt loops
- Two front flat pockets
- Two back flap pockets
Please note that each pair has unique distressing and subtle signs of wear that sometimes include small stains. Photo represents the style, not the exact pair. If you'd like a photo of the exact pair, please send me a note and I will be happy to send your way! Please see Variants for Waist and Length. I advise going a size down as these will stretch a bit after wear.
SHOP
http://www.rawsonchicago.etsy.com
FOLLOW US
 instagram | @_rawson & @rawson_selects
 website | rawsonchicago.com
 pinterest | rawsonchicago
*Please note that our vintage is final sale.*        ",95.00,5.0,"Vintage item from the 1970s
Primary color: Green
Materials:  Cotton, twill, OG107
Ships worldwide from  United States
Feedback:  45 reviews
Favorited by:  143 people",Clothing Unisex Adult Clothing Pants OG107,45.0,143.0,https://www.etsy.com/listing/468977346/60s70s-army-high-waist-pants-vietnam,"https://img0.etsystatic.com/143/0/13748581/il_fullxfull.1084938964_fd5f.jpg,https://img1.etsystatic.com/158/0/13748581/il_fullxfull.1131526195_8en3.jpg,https://img1.etsystatic.com/180/0/13748581/il_fullxfull.1131525199_t51y.jpg,https://img1.etsystatic.com/154/0/13748581/il_fullxfull.1131525227_2j9j.jpg,https://img1.etsystatic.com/153/0/13748581/il_fullxfull.1131525225_ngp2.jpg",,,97
